county,candidate,votes,district,party,office
Darke,John T. Parker ,0,,Non-Partisan,President
Defiance,John T. Parker ,0,,Non-Partisan,President
Delaware,John T. Parker ,0,,Non-Partisan,President
Erie,John T. Parker ,0,,Non-Partisan,President
Fairfield,John T. Parker ,0,,Non-Partisan,President
Fayette,John T. Parker ,0,,Non-Partisan,President
Franklin,John T. Parker ,0,,Non-Partisan,President
Fulton,John T. Parker ,0,,Non-Partisan,President
Gallia,John T. Parker ,0,,Non-Partisan,President
Geauga,John T. Parker ,0,,Non-Partisan,President
Greene,John T. Parker ,0,,Non-Partisan,President
Guernsey,John T. Parker ,0,,Non-Partisan,President
Hamilton,John T. Parker ,0,,Non-Partisan,President
Hancock,John T. Parker ,0,,Non-Partisan,President
Hardin,John T. Parker ,0,,Non-Partisan,President
Harrison,John T. Parker ,0,,Non-Partisan,President
Henry,John T. Parker ,0,,Non-Partisan,President
Highland,John T. Parker ,0,,Non-Partisan,President
Hocking,John T. Parker ,0,,Non-Partisan,President
Holmes,John T. Parker ,0,,Non-Partisan,President
Huron,John T. Parker ,0,,Non-Partisan,President
Jackson,John T. Parker ,0,,Non-Partisan,President
Jefferson,John T. Parker ,0,,Non-Partisan,President
Knox,John T. Parker ,0,,Non-Partisan,President
Lake,John T. Parker ,0,,Non-Partisan,President
Lawrence,John T. Parker ,0,,Non-Partisan,President
Licking,John T. Parker ,0,,Non-Partisan,President
Logan,John T. Parker ,0,,Non-Partisan,President
Lorain,John T. Parker ,0,,Non-Partisan,President
Lucas,John T. Parker ,0,,Non-Partisan,President
Madison,John T. Parker ,0,,Non-Partisan,President
Mahoning,John T. Parker ,0,,Non-Partisan,President
Marion,John T. Parker ,0,,Non-Partisan,President
Medina,John T. Parker ,0,,Non-Partisan,President
Meigs,John T. Parker ,0,,Non-Partisan,President
Mercer,John T. Parker ,0,,Non-Partisan,President
Miami,John T. Parker ,0,,Non-Partisan,President
Monroe,John T. Parker ,0,,Non-Partisan,President
Montgomery,John T. Parker ,0,,Non-Partisan,President
Morgan,John T. Parker ,0,,Non-Partisan,President
Morrow,John T. Parker ,0,,Non-Partisan,President
Muskingum,John T. Parker ,0,,Non-Partisan,President
Noble,John T. Parker ,0,,Non-Partisan,President
Ottawa,John T. Parker ,0,,Non-Partisan,President
Paulding,John T. Parker ,0,,Non-Partisan,President
Perry,John T. Parker ,0,,Non-Partisan,President
Pickaway,John T. Parker ,0,,Non-Partisan,President
Pike,John T. Parker ,0,,Non-Partisan,President
Portage,John T. Parker ,0,,Non-Partisan,President
Preble,John T. Parker ,0,,Non-Partisan,President
Putnam,John T. Parker ,0,,Non-Partisan,President
Richland,John T. Parker ,0,,Non-Partisan,President
Ross,John T. Parker ,0,,Non-Partisan,President
Sandusky,John T. Parker ,0,,Non-Partisan,President
Scioto,John T. Parker ,0,,Non-Partisan,President
Seneca,John T. Parker ,0,,Non-Partisan,President
Shelby,John T. Parker ,0,,Non-Partisan,President
Stark,John T. Parker ,0,,Non-Partisan,President
Summit,John T. Parker ,0,,Non-Partisan,President
Trumbull,John T. Parker ,0,,Non-Partisan,President
Tuscarawas,John T. Parker ,0,,Non-Partisan,President
Union,John T. Parker ,0,,Non-Partisan,President
Van Wert,John T. Parker ,0,,Non-Partisan,President
Vinton,John T. Parker ,0,,Non-Partisan,President
Warren,John T. Parker ,0,,Non-Partisan,President
Washington,John T. Parker ,0,,Non-Partisan,President
Wayne,John T. Parker ,0,,Non-Partisan,President
Williams,John T. Parker ,0,,Non-Partisan,President
Wood,John T. Parker ,0,,Non-Partisan,President
Wyandot,John T. Parker ,0,,Non-Partisan,President
Adams,Michael Anthony Peroutka,31,,Non-Partisan,President
Allen,Michael Anthony Peroutka,64,,Non-Partisan,President
Ashland,Michael Anthony Peroutka,122,,Non-Partisan,President
Ashtabula,Michael Anthony Peroutka,161,,Non-Partisan,President
Athens,Michael Anthony Peroutka,93,,Non-Partisan,President
Auglaize,Michael Anthony Peroutka,47,,Non-Partisan,President
Belmont,Michael Anthony Peroutka,66,,Non-Partisan,President
Brown,Michael Anthony Peroutka,53,,Non-Partisan,President
Butler,Michael Anthony Peroutka,286,,Non-Partisan,President
Carroll,Michael Anthony Peroutka,57,,Non-Partisan,President
Champaign,Michael Anthony Peroutka,43,,Non-Partisan,President
Clark,Michael Anthony Peroutka,146,,Non-Partisan,President
Clermont,Michael Anthony Peroutka,89,,Non-Partisan,President
Clinton,Michael Anthony Peroutka,27,,Non-Partisan,President
Columbiana,Michael Anthony Peroutka,150,,Non-Partisan,President
Coshocton,Michael Anthony Peroutka,68,,Non-Partisan,President
Crawford,Michael Anthony Peroutka,72,,Non-Partisan,President
Cuyahoga,Michael Anthony Peroutka,1752,,Non-Partisan,President
Darke,Michael Anthony Peroutka,79,,Non-Partisan,President
Defiance,Michael Anthony Peroutka,77,,Non-Partisan,President
Delaware,Michael Anthony Peroutka,92,,Non-Partisan,President
Erie,Michael Anthony Peroutka,18,,Non-Partisan,President
Fairfield,Michael Anthony Peroutka,191,,Non-Partisan,President
Fayette,Michael Anthony Peroutka,19,,Non-Partisan,President
Franklin,Michael Anthony Peroutka,1129,,Non-Partisan,President
Fulton,Michael Anthony Peroutka,44,,Non-Partisan,President
Gallia,Michael Anthony Peroutka,21,,Non-Partisan,President
Geauga,Michael Anthony Peroutka,103,,Non-Partisan,President
Greene,Michael Anthony Peroutka,144,,Non-Partisan,President
Guernsey,Michael Anthony Peroutka,63,,Non-Partisan,President
Hamilton,Michael Anthony Peroutka,621,,Non-Partisan,President
Hancock,Michael Anthony Peroutka,74,,Non-Partisan,President
Hardin,Michael Anthony Peroutka,28,,Non-Partisan,President
Harrison,Michael Anthony Peroutka,31,,Non-Partisan,President
Henry,Michael Anthony Peroutka,52,,Non-Partisan,President
Highland,Michael Anthony Peroutka,35,,Non-Partisan,President
Hocking,Michael Anthony Peroutka,44,,Non-Partisan,President
Holmes,Michael Anthony Peroutka,32,,Non-Partisan,President
Huron,Michael Anthony Peroutka,86,,Non-Partisan,President
Jackson,Michael Anthony Peroutka,17,,Non-Partisan,President
Jefferson,Michael Anthony Peroutka,77,,Non-Partisan,President
Knox,Michael Anthony Peroutka,78,,Non-Partisan,President
Lake,Michael Anthony Peroutka,253,,Non-Partisan,President
Lawrence,Michael Anthony Peroutka,54,,Non-Partisan,President
Licking,Michael Anthony Peroutka,176,,Non-Partisan,President
Logan,Michael Anthony Peroutka,61,,Non-Partisan,President
Lorain,Michael Anthony Peroutka,234,,Non-Partisan,President
Lucas,Michael Anthony Peroutka,243,,Non-Partisan,President
Madison,Michael Anthony Peroutka,37,,Non-Partisan,President
Mahoning,Michael Anthony Peroutka,418,,Non-Partisan,President
Marion,Michael Anthony Peroutka,68,,Non-Partisan,President
Medina,Michael Anthony Peroutka,183,,Non-Partisan,President
Meigs,Michael Anthony Peroutka,31,,Non-Partisan,President
Mercer,Michael Anthony Peroutka,46,,Non-Partisan,President
Miami,Michael Anthony Peroutka,56,,Non-Partisan,President
Monroe,Michael Anthony Peroutka,33,,Non-Partisan,President
Montgomery,Michael Anthony Peroutka,540,,Non-Partisan,President
Morgan,Michael Anthony Peroutka,38,,Non-Partisan,President
Morrow,Michael Anthony Peroutka,40,,Non-Partisan,President
Muskingum,Michael Anthony Peroutka,106,,Non-Partisan,President
Noble,Michael Anthony Peroutka,21,,Non-Partisan,President
Ottawa,Michael Anthony Peroutka,19,,Non-Partisan,President
Paulding,Michael Anthony Peroutka,32,,Non-Partisan,President
Perry,Michael Anthony Peroutka,47,,Non-Partisan,President
Pickaway,Michael Anthony Peroutka,40,,Non-Partisan,President
Pike,Michael Anthony Peroutka,33,,Non-Partisan,President
Portage,Michael Anthony Peroutka,162,,Non-Partisan,President
Preble,Michael Anthony Peroutka,50,,Non-Partisan,President
Putnam,Michael Anthony Peroutka,40,,Non-Partisan,President
Richland,Michael Anthony Peroutka,199,,Non-Partisan,President
Ross,Michael Anthony Peroutka,78,,Non-Partisan,President
Sandusky,Michael Anthony Peroutka,48,,Non-Partisan,President
Scioto,Michael Anthony Peroutka,50,,Non-Partisan,President
Seneca,Michael Anthony Peroutka,71,,Non-Partisan,President
Shelby,Michael Anthony Peroutka,60,,Non-Partisan,President
Stark,Michael Anthony Peroutka,420,,Non-Partisan,President
Summit,Michael Anthony Peroutka,504,,Non-Partisan,President
Trumbull,Michael Anthony Peroutka,223,,Non-Partisan,President
Tuscarawas,Michael Anthony Peroutka,108,,Non-Partisan,President
Union,Michael Anthony Peroutka,38,,Non-Partisan,President
Van Wert,Michael Anthony Peroutka,28,,Non-Partisan,President
Vinton,Michael Anthony Peroutka,9,,Non-Partisan,President
Warren,Michael Anthony Peroutka,144,,Non-Partisan,President
Washington,Michael Anthony Peroutka,69,,Non-Partisan,President
Wayne,Michael Anthony Peroutka,90,,Non-Partisan,President
Williams,Michael Anthony Peroutka,58,,Non-Partisan,President
Wood,Michael Anthony Peroutka,172,,Non-Partisan,President
Wyandot,Michael Anthony Peroutka,27,,Non-Partisan,President
Adams,Joe Schriner ,0,,Non-Partisan,President
Allen,Joe Schriner ,7,,Non-Partisan,President
Ashland,Joe Schriner ,1,,Non-Partisan,President
Ashtabula,Joe Schriner ,1,,Non-Partisan,President
Athens,Joe Schriner ,0,,Non-Partisan,President
Auglaize,Joe Schriner ,2,,Non-Partisan,President
Belmont,Joe Schriner ,3,,Non-Partisan,President
Brown,Joe Schriner ,0,,Non-Partisan,President
Butler,Joe Schriner ,0,,Non-Partisan,President
Carroll,Joe Schriner ,0,,Non-Partisan,President
Champaign,Joe Schriner ,0,,Non-Partisan,President
Clark,Joe Schriner ,0,,Non-Partisan,President
Clermont,Joe Schriner ,0,,Non-Partisan,President
Clinton,Joe Schriner ,0,,Non-Partisan,President
Columbiana,Joe Schriner ,1,,Non-Partisan,President
Coshocton,Joe Schriner ,2,,Non-Partisan,President
Crawford,Joe Schriner ,0,,Non-Partisan,President
Cuyahoga,Joe Schriner ,12,,Non-Partisan,President
Darke,Joe Schriner ,0,,Non-Partisan,President
Defiance,Joe Schriner ,0,,Non-Partisan,President
Delaware,Joe Schriner ,1,,Non-Partisan,President
Erie,Joe Schriner ,0,,Non-Partisan,President
Fairfield,Joe Schriner ,3,,Non-Partisan,President
Fayette,Joe Schriner ,0,,Non-Partisan,President
Franklin,Joe Schriner ,7,,Non-Partisan,President
Fulton,Joe Schriner ,0,,Non-Partisan,President
Gallia,Joe Schriner ,0,,Non-Partisan,President
Geauga,Joe Schriner ,7,,Non-Partisan,President
Greene,Joe Schriner ,1,,Non-Partisan,President
Guernsey,Joe Schriner ,1,,Non-Partisan,President
Hamilton,Joe Schriner ,8,,Non-Partisan,President
Hancock,Joe Schriner ,20,,Non-Partisan,President
Hardin,Joe Schriner ,0,,Non-Partisan,President
Harrison,Joe Schriner ,0,,Non-Partisan,President
Henry,Joe Schriner ,0,,Non-Partisan,President
Highland,Joe Schriner ,0,,Non-Partisan,President
Hocking,Joe Schriner ,0,,Non-Partisan,President
Holmes,Joe Schriner ,0,,Non-Partisan,President
Huron,Joe Schriner ,1,,Non-Partisan,President
Jackson,Joe Schriner ,0,,Non-Partisan,President
Jefferson,Joe Schriner ,0,,Non-Partisan,President
Knox,Joe Schriner ,4,,Non-Partisan,President
Lake,Joe Schriner ,1,,Non-Partisan,President
Lawrence,Joe Schriner ,0,,Non-Partisan,President
Licking,Joe Schriner ,1,,Non-Partisan,President
Logan,Joe Schriner ,0,,Non-Partisan,President
Lorain,Joe Schriner ,7,,Non-Partisan,President
Lucas,Joe Schriner ,2,,Non-Partisan,President
Madison,Joe Schriner ,0,,Non-Partisan,President
Mahoning,Joe Schriner ,5,,Non-Partisan,President
Marion,Joe Schriner ,0,,Non-Partisan,President
Medina,Joe Schriner ,0,,Non-Partisan,President
Meigs,Joe Schriner ,0,,Non-Partisan,President
Mercer,Joe Schriner ,2,,Non-Partisan,President
Miami,Joe Schriner ,1,,Non-Partisan,President
Monroe,Joe Schriner ,0,,Non-Partisan,President
Montgomery,Joe Schriner ,2,,Non-Partisan,President
Morgan,Joe Schriner ,0,,Non-Partisan,President
Morrow,Joe Schriner ,0,,Non-Partisan,President
Muskingum,Joe Schriner ,0,,Non-Partisan,President
Noble,Joe Schriner ,0,,Non-Partisan,President
Ottawa,Joe Schriner ,0,,Non-Partisan,President
Paulding,Joe Schriner ,0,,Non-Partisan,President
Perry,Joe Schriner ,0,,Non-Partisan,President
Pickaway,Joe Schriner ,0,,Non-Partisan,President
Pike,Joe Schriner ,0,,Non-Partisan,President
Portage,Joe Schriner ,0,,Non-Partisan,President
Preble,Joe Schriner ,0,,Non-Partisan,President
Putnam,Joe Schriner ,1,,Non-Partisan,President
Richland,Joe Schriner ,0,,Non-Partisan,President
Ross,Joe Schriner ,0,,Non-Partisan,President
Sandusky,Joe Schriner ,2,,Non-Partisan,President
Scioto,Joe Schriner ,0,,Non-Partisan,President
Seneca,Joe Schriner ,1,,Non-Partisan,President
Shelby,Joe Schriner ,0,,Non-Partisan,President
Stark,Joe Schriner ,2,,Non-Partisan,President
Summit,Joe Schriner ,1,,Non-Partisan,President
Trumbull,Joe Schriner ,0,,Non-Partisan,President
Tuscarawas,Joe Schriner ,0,,Non-Partisan,President
Union,Joe Schriner ,0,,Non-Partisan,President
Van Wert,Joe Schriner ,0,,Non-Partisan,President
Vinton,Joe Schriner ,0,,Non-Partisan,President
Warren,Joe Schriner ,1,,Non-Partisan,President
Washington,Joe Schriner ,0,,Non-Partisan,President
Wayne,Joe Schriner ,0,,Non-Partisan,President
Williams,Joe Schriner ,1,,Non-Partisan,President
Wood,Joe Schriner ,2,,Non-Partisan,President
Wyandot,Joe Schriner ,0,,Non-Partisan,President
Adams,Thomas F. Zych ,0,,Non-Partisan,President
Allen,Thomas F. Zych ,0,,Non-Partisan,President
Ashland,Thomas F. Zych ,0,,Non-Partisan,President
Ashtabula,Thomas F. Zych ,0,,Non-Partisan,President
Athens,Thomas F. Zych ,0,,Non-Partisan,President
Auglaize,Thomas F. Zych ,0,,Non-Partisan,President
Belmont,Thomas F. Zych ,0,,Non-Partisan,President
Brown,Thomas F. Zych ,0,,Non-Partisan,President
Butler,Thomas F. Zych ,0,,Non-Partisan,President
Carroll,Thomas F. Zych ,0,,Non-Partisan,President
Champaign,Thomas F. Zych ,0,,Non-Partisan,President
Clark,Thomas F. Zych ,0,,Non-Partisan,President
Clermont,Thomas F. Zych ,1,,Non-Partisan,President
Clinton,Thomas F. Zych ,0,,Non-Partisan,President
Columbiana,Thomas F. Zych ,3,,Non-Partisan,President
Coshocton,Thomas F. Zych ,0,,Non-Partisan,President
Crawford,Thomas F. Zych ,0,,Non-Partisan,President
Cuyahoga,Thomas F. Zych ,1,,Non-Partisan,President
Darke,Thomas F. Zych ,0,,Non-Partisan,President
Defiance,Thomas F. Zych ,0,,Non-Partisan,President
Delaware,Thomas F. Zych ,0,,Non-Partisan,President
Erie,Thomas F. Zych ,0,,Non-Partisan,President
Fairfield,Thomas F. Zych ,0,,Non-Partisan,President
Fayette,Thomas F. Zych ,0,,Non-Partisan,President
Franklin,Thomas F. Zych ,1,,Non-Partisan,President
Fulton,Thomas F. Zych ,0,,Non-Partisan,President
Gallia,Thomas F. Zych ,0,,Non-Partisan,President
Geauga,Thomas F. Zych ,1,,Non-Partisan,President
Greene,Thomas F. Zych ,0,,Non-Partisan,President
Guernsey,Thomas F. Zych ,0,,Non-Partisan,President
Hamilton,Thomas F. Zych ,0,,Non-Partisan,President
Hancock,Thomas F. Zych ,0,,Non-Partisan,President
Hardin,Thomas F. Zych ,0,,Non-Partisan,President
Harrison,Thomas F. Zych ,0,,Non-Partisan,President
Henry,Thomas F. Zych ,0,,Non-Partisan,President
Highland,Thomas F. Zych ,0,,Non-Partisan,President
Hocking,Thomas F. Zych ,0,,Non-Partisan,President
Holmes,Thomas F. Zych ,0,,Non-Partisan,President
Huron,Thomas F. Zych ,0,,Non-Partisan,President
Jackson,Thomas F. Zych ,0,,Non-Partisan,President
Jefferson,Thomas F. Zych ,0,,Non-Partisan,President
Knox,Thomas F. Zych ,0,,Non-Partisan,President
Lake,Thomas F. Zych ,0,,Non-Partisan,President
Lawrence,Thomas F. Zych ,0,,Non-Partisan,President
Licking,Thomas F. Zych ,0,,Non-Partisan,President
Logan,Thomas F. Zych ,0,,Non-Partisan,President
Lorain,Thomas F. Zych ,0,,Non-Partisan,President
Lucas,Thomas F. Zych ,0,,Non-Partisan,President
Madison,Thomas F. Zych ,0,,Non-Partisan,President
Mahoning,Thomas F. Zych ,0,,Non-Partisan,President
Marion,Thomas F. Zych ,0,,Non-Partisan,President
Medina,Thomas F. Zych ,0,,Non-Partisan,President
Meigs,Thomas F. Zych ,0,,Non-Partisan,President
Mercer,Thomas F. Zych ,0,,Non-Partisan,President
Miami,Thomas F. Zych ,0,,Non-Partisan,President
Monroe,Thomas F. Zych ,0,,Non-Partisan,President
Montgomery,Thomas F. Zych ,0,,Non-Partisan,President
Morgan,Thomas F. Zych ,0,,Non-Partisan,President
Morrow,Thomas F. Zych ,0,,Non-Partisan,President
Muskingum,Thomas F. Zych ,0,,Non-Partisan,President
Noble,Thomas F. Zych ,0,,Non-Partisan,President
Ottawa,Thomas F. Zych ,0,,Non-Partisan,President
Paulding,Thomas F. Zych ,0,,Non-Partisan,President
Perry,Thomas F. Zych ,0,,Non-Partisan,President
Pickaway,Thomas F. Zych ,0,,Non-Partisan,President
Pike,Thomas F. Zych ,0,,Non-Partisan,President
Portage,Thomas F. Zych ,0,,Non-Partisan,President
Preble,Thomas F. Zych ,0,,Non-Partisan,President
Putnam,Thomas F. Zych ,0,,Non-Partisan,President
Richland,Thomas F. Zych ,0,,Non-Partisan,President
Ross,Thomas F. Zych ,0,,Non-Partisan,President
Sandusky,Thomas F. Zych ,1,,Non-Partisan,President
Scioto,Thomas F. Zych ,0,,Non-Partisan,President
Seneca,Thomas F. Zych ,0,,Non-Partisan,President
Shelby,Thomas F. Zych ,0,,Non-Partisan,President
Stark,Thomas F. Zych ,1,,Non-Partisan,President
Summit,Thomas F. Zych ,1,,Non-Partisan,President
Trumbull,Thomas F. Zych ,0,,Non-Partisan,President
Tuscarawas,Thomas F. Zych ,0,,Non-Partisan,President
Union,Thomas F. Zych ,0,,Non-Partisan,President
Van Wert,Thomas F. Zych ,0,,Non-Partisan,President
Vinton,Thomas F. Zych ,0,,Non-Partisan,President
Warren,Thomas F. Zych ,0,,Non-Partisan,President
Washington,Thomas F. Zych ,0,,Non-Partisan,President
Wayne,Thomas F. Zych ,1,,Non-Partisan,President
Williams,Thomas F. Zych ,0,,Non-Partisan,President
Wood,Thomas F. Zych ,0,,Non-Partisan,President
Wyandot,Thomas F. Zych ,0,,Non-Partisan,President
Adams,Eric D. Fingerhut,3211,,Democratic,US Senate
Allen,Eric D. Fingerhut,13106,,Democratic,US Senate
Ashland,Eric D. Fingerhut,6322,,Democratic,US Senate
Ashtabula,Eric D. Fingerhut,18378,,Democratic,US Senate
Athens,Eric D. Fingerhut,13778,,Democratic,US Senate
Auglaize,Eric D. Fingerhut,4785,,Democratic,US Senate
Belmont,Eric D. Fingerhut,13469,,Democratic,US Senate
Brown,Eric D. Fingerhut,5474,,Democratic,US Senate
Butler,Eric D. Fingerhut,43537,,Democratic,US Senate
Carroll,Eric D. Fingerhut,4448,,Democratic,US Senate
Champaign,Eric D. Fingerhut,4737,,Democratic,US Senate
Clark,Eric D. Fingerhut,24031,,Democratic,US Senate
Clermont,Eric D. Fingerhut,20143,,Democratic,US Senate
Clinton,Eric D. Fingerhut,3732,,Democratic,US Senate
Columbiana,Eric D. Fingerhut,17869,,Democratic,US Senate
Coshocton,Eric D. Fingerhut,5141,,Democratic,US Senate
Crawford,Eric D. Fingerhut,5980,,Democratic,US Senate
Cuyahoga,Eric D. Fingerhut,303085,,Democratic,US Senate
Darke,Eric D. Fingerhut,5901,,Democratic,US Senate
Defiance,Eric D. Fingerhut,5279,,Democratic,US Senate
Delaware,Eric D. Fingerhut,17902,,Democratic,US Senate
Erie,Eric D. Fingerhut,15521,,Democratic,US Senate
Fairfield,Eric D. Fingerhut,17027,,Democratic,US Senate
Fayette,Eric D. Fingerhut,2668,,Democratic,US Senate
Franklin,Eric D. Fingerhut,199677,,Democratic,US Senate
Fulton,Eric D. Fingerhut,5039,,Democratic,US Senate
Gallia,Eric D. Fingerhut,3639,,Democratic,US Senate
Geauga,Eric D. Fingerhut,13371,,Democratic,US Senate
Greene,Eric D. Fingerhut,22180,,Democratic,US Senate
Guernsey,Eric D. Fingerhut,6076,,Democratic,US Senate
Hamilton,Eric D. Fingerhut,151912,,Democratic,US Senate
Hancock,Eric D. Fingerhut,7096,,Democratic,US Senate
Hardin,Eric D. Fingerhut,3731,,Democratic,US Senate
Harrison,Eric D. Fingerhut,2814,,Democratic,US Senate
Henry,Eric D. Fingerhut,3299,,Democratic,US Senate
Highland,Eric D. Fingerhut,4532,,Democratic,US Senate
Hocking,Eric D. Fingerhut,4342,,Democratic,US Senate
Holmes,Eric D. Fingerhut,1941,,Democratic,US Senate
Huron,Eric D. Fingerhut,6996,,Democratic,US Senate
Jackson,Eric D. Fingerhut,3844,,Democratic,US Senate
Jefferson,Eric D. Fingerhut,14166,,Democratic,US Senate
Knox,Eric D. Fingerhut,7581,,Democratic,US Senate
Lake,Eric D. Fingerhut,39561,,Democratic,US Senate
Lawrence,Eric D. Fingerhut,9342,,Democratic,US Senate
Licking,Eric D. Fingerhut,21014,,Democratic,US Senate
Logan,Eric D. Fingerhut,4613,,Democratic,US Senate
Lorain,Eric D. Fingerhut,57436,,Democratic,US Senate
Lucas,Eric D. Fingerhut,90250,,Democratic,US Senate
Madison,Eric D. Fingerhut,3983,,Democratic,US Senate
Mahoning,Eric D. Fingerhut,61403,,Democratic,US Senate
Marion,Eric D. Fingerhut,8841,,Democratic,US Senate
Medina,Eric D. Fingerhut,24660,,Democratic,US Senate
Meigs,Eric D. Fingerhut,3126,,Democratic,US Senate
Mercer,Eric D. Fingerhut,4379,,Democratic,US Senate
Miami,Eric D. Fingerhut,12510,,Democratic,US Senate
Monroe,Eric D. Fingerhut,3384,,Democratic,US Senate
Montgomery,Eric D. Fingerhut,102734,,Democratic,US Senate
Morgan,Eric D. Fingerhut,1995,,Democratic,US Senate
Morrow,Eric D. Fingerhut,4104,,Democratic,US Senate
Muskingum,Eric D. Fingerhut,11180,,Democratic,US Senate
Noble,Eric D. Fingerhut,2056,,Democratic,US Senate
Ottawa,Eric D. Fingerhut,7224,,Democratic,US Senate
Paulding,Eric D. Fingerhut,3134,,Democratic,US Senate
Perry,Eric D. Fingerhut,5034,,Democratic,US Senate
Pickaway,Eric D. Fingerhut,6315,,Democratic,US Senate
Pike,Eric D. Fingerhut,4740,,Democratic,US Senate
Portage,Eric D. Fingerhut,29962,,Democratic,US Senate
Preble,Eric D. Fingerhut,5383,,Democratic,US Senate
Putnam,Eric D. Fingerhut,3794,,Democratic,US Senate
Richland,Eric D. Fingerhut,19469,,Democratic,US Senate
Ross,Eric D. Fingerhut,10006,,Democratic,US Senate
Sandusky,Eric D. Fingerhut,8327,,Democratic,US Senate
Scioto,Eric D. Fingerhut,13183,,Democratic,US Senate
Seneca,Eric D. Fingerhut,7439,,Democratic,US Senate
Shelby,Eric D. Fingerhut,5111,,Democratic,US Senate
Stark,Eric D. Fingerhut,66949,,Democratic,US Senate
Summit,Eric D. Fingerhut,116522,,Democratic,US Senate
Trumbull,Eric D. Fingerhut,49856,,Democratic,US Senate
Tuscarawas,Eric D. Fingerhut,14197,,Democratic,US Senate
Union,Eric D. Fingerhut,4534,,Democratic,US Senate
Van Wert,Eric D. Fingerhut,3721,,Democratic,US Senate
Vinton,Eric D. Fingerhut,1936,,Democratic,US Senate
Warren,Eric D. Fingerhut,19251,,Democratic,US Senate
Washington,Eric D. Fingerhut,10149,,Democratic,US Senate
Wayne,Eric D. Fingerhut,14021,,Democratic,US Senate
Williams,Eric D. Fingerhut,4503,,Democratic,US Senate
Wood,Eric D. Fingerhut,19641,,Democratic,US Senate
Wyandot,Eric D. Fingerhut,2517,,Democratic,US Senate
Adams,Helen Meyers,0,,Non-Partisan,US Senate
Allen,Helen Meyers,0,,Non-Partisan,US Senate
Ashland,Helen Meyers,0,,Non-Partisan,US Senate
Ashtabula,Helen Meyers,0,,Non-Partisan,US Senate
Athens,Helen Meyers,1,,Non-Partisan,US Senate
Auglaize,Helen Meyers,0,,Non-Partisan,US Senate
Belmont,Helen Meyers,0,,Non-Partisan,US Senate
Brown,Helen Meyers,1,,Non-Partisan,US Senate
Butler,Helen Meyers,6,,Non-Partisan,US Senate
Carroll,Helen Meyers,0,,Non-Partisan,US Senate
Champaign,Helen Meyers,0,,Non-Partisan,US Senate
Clark,Helen Meyers,0,,Non-Partisan,US Senate
Clermont,Helen Meyers,7,,Non-Partisan,US Senate
Clinton,Helen Meyers,0,,Non-Partisan,US Senate
Columbiana,Helen Meyers,0,,Non-Partisan,US Senate
Coshocton,Helen Meyers,0,,Non-Partisan,US Senate
Crawford,Helen Meyers,0,,Non-Partisan,US Senate
Cuyahoga,Helen Meyers,14,,Non-Partisan,US Senate
Darke,Helen Meyers,0,,Non-Partisan,US Senate
Defiance,Helen Meyers,0,,Non-Partisan,US Senate
Delaware,Helen Meyers,0,,Non-Partisan,US Senate
Erie,Helen Meyers,2,,Non-Partisan,US Senate
Fairfield,Helen Meyers,2,,Non-Partisan,US Senate
Fayette,Helen Meyers,0,,Non-Partisan,US Senate
Franklin,Helen Meyers,111,,Non-Partisan,US Senate
Fulton,Helen Meyers,0,,Non-Partisan,US Senate
Gallia,Helen Meyers,0,,Non-Partisan,US Senate
Geauga,Helen Meyers,4,,Non-Partisan,US Senate
Greene,Helen Meyers,1,,Non-Partisan,US Senate
Guernsey,Helen Meyers,2,,Non-Partisan,US Senate
Hamilton,Helen Meyers,113,,Non-Partisan,US Senate
Hancock,Helen Meyers,3,,Non-Partisan,US Senate
Hardin,Helen Meyers,0,,Non-Partisan,US Senate
Harrison,Helen Meyers,0,,Non-Partisan,US Senate
Henry,Helen Meyers,0,,Non-Partisan,US Senate
Highland,Helen Meyers,0,,Non-Partisan,US Senate
Hocking,Helen Meyers,0,,Non-Partisan,US Senate
Holmes,Helen Meyers,0,,Non-Partisan,US Senate
Huron,Helen Meyers,0,,Non-Partisan,US Senate
Jackson,Helen Meyers,0,,Non-Partisan,US Senate
Jefferson,Helen Meyers,0,,Non-Partisan,US Senate
Knox,Helen Meyers,0,,Non-Partisan,US Senate
Lake,Helen Meyers,0,,Non-Partisan,US Senate
Lawrence,Helen Meyers,0,,Non-Partisan,US Senate
Licking,Helen Meyers,0,,Non-Partisan,US Senate
Logan,Helen Meyers,0,,Non-Partisan,US Senate
Lorain,Helen Meyers,0,,Non-Partisan,US Senate
Lucas,Helen Meyers,10,,Non-Partisan,US Senate
Madison,Helen Meyers,0,,Non-Partisan,US Senate
Mahoning,Helen Meyers,1,,Non-Partisan,US Senate
Marion,Helen Meyers,0,,Non-Partisan,US Senate
Medina,Helen Meyers,0,,Non-Partisan,US Senate
Meigs,Helen Meyers,0,,Non-Partisan,US Senate
Mercer,Helen Meyers,0,,Non-Partisan,US Senate
Miami,Helen Meyers,2,,Non-Partisan,US Senate
Monroe,Helen Meyers,0,,Non-Partisan,US Senate
Montgomery,Helen Meyers,0,,Non-Partisan,US Senate
Morgan,Helen Meyers,0,,Non-Partisan,US Senate
Morrow,Helen Meyers,0,,Non-Partisan,US Senate
Muskingum,Helen Meyers,0,,Non-Partisan,US Senate
Noble,Helen Meyers,0,,Non-Partisan,US Senate
Ottawa,Helen Meyers,2,,Non-Partisan,US Senate
Paulding,Helen Meyers,1,,Non-Partisan,US Senate
