county,office,district,party,candidate,votes,region,media_market
Crawford,State Senate,26,D,Craig Swartz,4861,Central,Columbus
Crawford,State Senate,26,,Robert Taylor,542,Central,Columbus
Crawford,State House,87,D,Nicholas Barnes,5004,Central,Columbus
Crawford,State House,87,R,Riordan T. McClain,15063,Central,Columbus
Cuyahoga,U.S. House,9,D,Marcy Kaptur,76793,Northeast,Cleveland
Cuyahoga,U.S. House,9,,McKenzie Levindofske,30,Northeast,Cleveland
Cuyahoga,U.S. House,9,R,Rob Weber,43885,Northeast,Cleveland
Cuyahoga,U.S. House,11,D,Marcia L. Fudge,212304,Northeast,Cleveland
Cuyahoga,U.S. House,11,R,Laverne Gore,48297,Northeast,Cleveland
Cuyahoga,U.S. House,14,R,David P. Joyce,32288,Northeast,Cleveland
Cuyahoga,U.S. House,14,D,Hillary O'Connor Mueri,31316,Northeast,Cleveland
Cuyahoga,U.S. House,16,D,Aaron Paul Godfrey,61715,Northeast,Cleveland
Cuyahoga,U.S. House,16,R,Anthony Gonzalez,83354,Northeast,Cleveland
Cuyahoga,State Senate,8,R,Louis W. Blessing III,0,Northeast,Cleveland
Cuyahoga,State Senate,8,D,Daniel Brown,0,Northeast,Cleveland
Cuyahoga,State Senate,24,R,Matt Dolan,112609,Northeast,Cleveland
Cuyahoga,State Senate,24,D,Tom Jackson,94633,Northeast,Cleveland
Cuyahoga,State House,6,R,Shay Hawkins,35982,Northeast,Cleveland
Cuyahoga,State House,6,D,Phil Robinson,37995,Northeast,Cleveland
Cuyahoga,State House,7,R,Thomas F. Patton,37493,Northeast,Cleveland
Cuyahoga,State House,7,D,Joan T. Sweeny,26922,Northeast,Cleveland
Cuyahoga,State House,8,D,Kent Smith,41159,Northeast,Cleveland
Cuyahoga,State House,9,D,Janine Boyd,50894,Northeast,Cleveland
Cuyahoga,State House,9,R,Dustin D. Russell,7868,Northeast,Cleveland
Cuyahoga,State House,10,D,Terrence Upchurch,28453,Northeast,Cleveland
Cuyahoga,State House,11,D,Stephanie Howse,27346,Northeast,Cleveland
Cuyahoga,State House,12,D,Juanita Brent,43247,Northeast,Cleveland
Cuyahoga,State House,12,R,Jerry V. Powell,9342,Northeast,Cleveland
Cuyahoga,State House,13,R,Daniel Harrington,11621,Northeast,Cleveland
Cuyahoga,State House,13,D,Michael J. Skindell,33647,Northeast,Cleveland
Cuyahoga,State House,14,R,Lynn McMahan,19643,Northeast,Cleveland
Cuyahoga,State House,14,D,Bride Rose Sweeney,27618,Northeast,Cleveland
Cuyahoga,State House,15,D,Jeffrey A. Crossman,24020,Northeast,Cleveland
Cuyahoga,State House,15,R,Kevin C. Kussmaul,22018,Northeast,Cleveland
Cuyahoga,State House,16,R,Dave Greenspan,34075,Northeast,Cleveland
Cuyahoga,State House,16,D,Monique Smith,35013,Northeast,Cleveland
Darke,U.S. House,8,R,Warren Davidson,22249,West,Dayton
Darke,U.S. House,8,D,Vanessa Enoch,4387,West,Dayton
Darke,U.S. House,8,,Isaac Reed,4,West,Dayton
Darke,State Senate,12,R,Matt Huffman,13869,West,Dayton
Darke,State Senate,12,D,Ken Poling,2826,West,Dayton
Darke,State House,80,D,Ted Jones,1538,West,Dayton
Darke,State House,80,R,Jena Powell,8412,West,Dayton
