candidate,county,district,office,party,votes
John McCain,Coshocton,,President,Republican,8675
John McCain,Crawford,,President,Republican,12316
John McCain,Cuyahoga,,President,Republican,199880
John McCain,Darke,,President,Republican,17290
John McCain,Defiance,,President,Republican,10407
John McCain,Delaware,,President,Republican,54778
John McCain,Erie,,President,Republican,17432
John McCain,Fairfield,,President,Republican,41580
John McCain,Fayette,,President,Republican,7102
John McCain,Franklin,,President,Republican,218486
John McCain,Fulton,,President,Republican,11689
John McCain,Gallia,,President,Republican,8247
John McCain,Geauga,,President,Republican,29096
John McCain,Greene,,President,Republican,48936
John McCain,Guernsey,,President,Republican,9197
John McCain,Hamilton,,President,Republican,195530
John McCain,Hancock,,President,Republican,22420
John McCain,Hardin,,President,Republican,7749
John McCain,Harrison,,President,Republican,3872
John McCain,Henry,,President,Republican,8239
John McCain,Highland,,President,Republican,11907
John McCain,Hocking,,President,Republican,6364
John McCain,Holmes,,President,Republican,7720
John McCain,Huron,,President,Republican,12884
John McCain,Jackson,,President,Republican,8219
John McCain,Jefferson,,President,Republican,17559
John McCain,Knox,,President,Republican,16640
John McCain,Lake,,President,Republican,59142
John McCain,Lawrence,,President,Republican,15415
John McCain,Licking,,President,Republican,46918
John McCain,Logan,,President,Republican,13848
John McCain,Lorain,,President,Republican,59068
John McCain,Lucas,,President,Republican,73706
John McCain,Madison,,President,Republican,10606
John McCain,Mahoning,,President,Republican,45319
John McCain,Marion,,President,Republican,15454
John McCain,Medina,,President,Republican,48189
John McCain,Meigs,,President,Republican,6015
John McCain,Mercer,,President,Republican,15100
John McCain,Miami,,President,Republican,33417
John McCain,Monroe,,President,Republican,3066
John McCain,Montgomery,,President,Republican,128679
John McCain,Morgan,,President,Republican,3440
John McCain,Morrow,,President,Republican,10067
John McCain,Muskingum,,President,Republican,20549
John McCain,Noble,,President,Republican,3450
John McCain,Ottawa,,President,Republican,10624
John McCain,Paulding,,President,Republican,5317
John McCain,Perry,,President,Republican,7721
John McCain,Pickaway,,President,Republican,14228
John McCain,Pike,,President,Republican,6162
John McCain,Portage,,President,Republican,34822
John McCain,Preble,,President,Republican,13562
John McCain,Putnam,,President,Republican,13072
John McCain,Richland,,President,Republican,34034
John McCain,Ross,,President,Republican,16759
John McCain,Sandusky,,President,Republican,14192
John McCain,Scioto,,President,Republican,16994
John McCain,Seneca,,President,Republican,13823
John McCain,Shelby,,President,Republican,15924
John McCain,Stark,,President,Republican,86743
John McCain,Summit,,President,Republican,113284
John McCain,Trumbull,,President,Republican,40164
John McCain,Tuscarawas,,President,Republican,20454
John McCain,Union,,President,Republican,15744
John McCain,Van Wert,,President,Republican,9168
John McCain,Vinton,,President,Republican,3021
John McCain,Warren,,President,Republican,71691
John McCain,Washington,,President,Republican,17019
John McCain,Wayne,,President,Republican,29342
John McCain,Williams,,President,Republican,9879
John McCain,Wood,,President,Republican,29648
John McCain,Wyandot,,President,Republican,6270
Cynthia McKinney,Adams,,President,Green,29
Cynthia McKinney,Allen,,President,Green,75
Cynthia McKinney,Ashland,,President,Green,76
Cynthia McKinney,Ashtabula,,President,Green,71
Cynthia McKinney,Athens,,President,Green,85
Cynthia McKinney,Auglaize,,President,Green,31
Cynthia McKinney,Belmont,,President,Green,52
Cynthia McKinney,Brown,,President,Green,32
Cynthia McKinney,Butler,,President,Green,222
Cynthia McKinney,Carroll,,President,Green,45
Cynthia McKinney,Champaign,,President,Green,35
Cynthia McKinney,Clark,,President,Green,110
Cynthia McKinney,Clermont,,President,Green,122
Cynthia McKinney,Clinton,,President,Green,21
Cynthia McKinney,Columbiana,,President,Green,94
Cynthia McKinney,Coshocton,,President,Green,65
Cynthia McKinney,Crawford,,President,Green,71
Cynthia McKinney,Cuyahoga,,President,Green,711
Cynthia McKinney,Darke,,President,Green,69
Cynthia McKinney,Defiance,,President,Green,37
Cynthia McKinney,Delaware,,President,Green,77
Cynthia McKinney,Erie,,President,Green,56
Cynthia McKinney,Fairfield,,President,Green,109
Cynthia McKinney,Fayette,,President,Green,19
Cynthia McKinney,Franklin,,President,Green,689
Cynthia McKinney,Fulton,,President,Green,38
Cynthia McKinney,Gallia,,President,Green,36
Cynthia McKinney,Geauga,,President,Green,59
Cynthia McKinney,Greene,,President,Green,110
Cynthia McKinney,Guernsey,,President,Green,48
Cynthia McKinney,Hamilton,,President,Green,397
Cynthia McKinney,Hancock,,President,Green,62
Cynthia McKinney,Hardin,,President,Green,51
Cynthia McKinney,Harrison,,President,Green,24
Cynthia McKinney,Henry,,President,Green,32
Cynthia McKinney,Highland,,President,Green,42
Cynthia McKinney,Hocking,,President,Green,38
Cynthia McKinney,Holmes,,President,Green,25
Cynthia McKinney,Huron,,President,Green,71
Cynthia McKinney,Jackson,,President,Green,32
Cynthia McKinney,Jefferson,,President,Green,57
Cynthia McKinney,Knox,,President,Green,47
Cynthia McKinney,Lake,,President,Green,163
Cynthia McKinney,Lawrence,,President,Green,34
Cynthia McKinney,Licking,,President,Green,133
Cynthia McKinney,Logan,,President,Green,49
Cynthia McKinney,Lorain,,President,Green,221
Cynthia McKinney,Lucas,,President,Green,277
Cynthia McKinney,Madison,,President,Green,31
Cynthia McKinney,Mahoning,,President,Green,276
Cynthia McKinney,Marion,,President,Green,76
Cynthia McKinney,Medina,,President,Green,109
Cynthia McKinney,Meigs,,President,Green,28
Cynthia McKinney,Mercer,,President,Green,28
Cynthia McKinney,Miami,,President,Green,135
Cynthia McKinney,Monroe,,President,Green,25
Cynthia McKinney,Montgomery,,President,Green,368
Cynthia McKinney,Morgan,,President,Green,12
Cynthia McKinney,Morrow,,President,Green,42
Cynthia McKinney,Muskingum,,President,Green,89
Cynthia McKinney,Noble,,President,Green,28
Cynthia McKinney,Ottawa,,President,Green,28
Cynthia McKinney,Paulding,,President,Green,25
Cynthia McKinney,Perry,,President,Green,40
Cynthia McKinney,Pickaway,,President,Green,38
Cynthia McKinney,Pike,,President,Green,30
Cynthia McKinney,Portage,,President,Green,155
Cynthia McKinney,Preble,,President,Green,40
Cynthia McKinney,Putnam,,President,Green,23
Cynthia McKinney,Richland,,President,Green,113
Cynthia McKinney,Ross,,President,Green,63
Cynthia McKinney,Sandusky,,President,Green,51
Cynthia McKinney,Scioto,,President,Green,46
Cynthia McKinney,Seneca,,President,Green,47
Cynthia McKinney,Shelby,,President,Green,46
Cynthia McKinney,Stark,,President,Green,347
Cynthia McKinney,Summit,,President,Green,321
Cynthia McKinney,Trumbull,,President,Green,245
Cynthia McKinney,Tuscarawas,,President,Green,89
Cynthia McKinney,Union,,President,Green,34
Cynthia McKinney,Van Wert,,President,Green,28
Cynthia McKinney,Vinton,,President,Green,21
Cynthia McKinney,Warren,,President,Green,83
Cynthia McKinney,Washington,,President,Green,44
Cynthia McKinney,Wayne,,President,Green,108
Cynthia McKinney,Williams,,President,Green,44
Cynthia McKinney,Wood,,President,Green,95
Cynthia McKinney,Wyandot,,President,Green,18
Brian Moore,Adams,,President,Socialist,25
Brian Moore,Allen,,President,Socialist,19
Brian Moore,Ashland,,President,Socialist,17
Brian Moore,Ashtabula,,President,Socialist,25
Brian Moore,Athens,,President,Socialist,16
Brian Moore,Auglaize,,President,Socialist,7
Brian Moore,Belmont,,President,Socialist,25
Brian Moore,Brown,,President,Socialist,6
Brian Moore,Butler,,President,Socialist,66
Brian Moore,Carroll,,President,Socialist,13
Brian Moore,Champaign,,President,Socialist,9
Brian Moore,Clark,,President,Socialist,25
Brian Moore,Clermont,,President,Socialist,13
Brian Moore,Clinton,,President,Socialist,8
Brian Moore,Columbiana,,President,Socialist,30
Brian Moore,Coshocton,,President,Socialist,20
Brian Moore,Crawford,,President,Socialist,34
Brian Moore,Cuyahoga,,President,Socialist,144
Brian Moore,Darke,,President,Socialist,15
Brian Moore,Defiance,,President,Socialist,12
Brian Moore,Delaware,,President,Socialist,16
Brian Moore,Erie,,President,Socialist,10
Brian Moore,Fairfield,,President,Socialist,34
Brian Moore,Fayette,,President,Socialist,3
Brian Moore,Franklin,,President,Socialist,157
Brian Moore,Fulton,,President,Socialist,15
Brian Moore,Gallia,,President,Socialist,13
Brian Moore,Geauga,,President,Socialist,7
Brian Moore,Greene,,President,Socialist,28
Brian Moore,Guernsey,,President,Socialist,22
Brian Moore,Hamilton,,President,Socialist,78
Brian Moore,Hancock,,President,Socialist,21
Brian Moore,Hardin,,President,Socialist,16
Brian Moore,Harrison,,President,Socialist,20
Brian Moore,Henry,,President,Socialist,12
Brian Moore,Highland,,President,Socialist,18
Brian Moore,Hocking,,President,Socialist,19
Brian Moore,Holmes,,President,Socialist,9
Brian Moore,Huron,,President,Socialist,29
Brian Moore,Jackson,,President,Socialist,22
Brian Moore,Jefferson,,President,Socialist,32
Brian Moore,Knox,,President,Socialist,15
Brian Moore,Lake,,President,Socialist,27
Brian Moore,Lawrence,,President,Socialist,19
Brian Moore,Licking,,President,Socialist,50
Brian Moore,Logan,,President,Socialist,6
Brian Moore,Lorain,,President,Socialist,100
Brian Moore,Lucas,,President,Socialist,76
Brian Moore,Madison,,President,Socialist,11
Brian Moore,Mahoning,,President,Socialist,90
Brian Moore,Marion,,President,Socialist,31
Brian Moore,Medina,,President,Socialist,34
Brian Moore,Meigs,,President,Socialist,10
Brian Moore,Mercer,,President,Socialist,10
Brian Moore,Miami,,President,Socialist,54
Brian Moore,Monroe,,President,Socialist,9
Brian Moore,Montgomery,,President,Socialist,140
Brian Moore,Morgan,,President,Socialist,8
Brian Moore,Morrow,,President,Socialist,16
Brian Moore,Muskingum,,President,Socialist,44
Brian Moore,Noble,,President,Socialist,15
Brian Moore,Ottawa,,President,Socialist,9
Brian Moore,Paulding,,President,Socialist,13
Brian Moore,Perry,,President,Socialist,29
Brian Moore,Pickaway,,President,Socialist,17
Brian Moore,Pike,,President,Socialist,18
Brian Moore,Portage,,President,Socialist,82
Brian Moore,Preble,,President,Socialist,8
Brian Moore,Putnam,,President,Socialist,11
Brian Moore,Richland,,President,Socialist,71
Brian Moore,Ross,,President,Socialist,20
Brian Moore,Sandusky,,President,Socialist,15
Brian Moore,Scioto,,President,Socialist,34
Brian Moore,Seneca,,President,Socialist,10
Brian Moore,Shelby,,President,Socialist,13
Brian Moore,Stark,,President,Socialist,132
Brian Moore,Summit,,President,Socialist,76
Brian Moore,Trumbull,,President,Socialist,89
Brian Moore,Tuscarawas,,President,Socialist,45
Brian Moore,Union,,President,Socialist,13
Brian Moore,Van Wert,,President,Socialist,5
Brian Moore,Vinton,,President,Socialist,5
Brian Moore,Warren,,President,Socialist,21
Brian Moore,Washington,,President,Socialist,18
Brian Moore,Wayne,,President,Socialist,56
Brian Moore,Williams,,President,Socialist,13
Brian Moore,Wood,,President,Socialist,27
Brian Moore,Wyandot,,President,Socialist,10
Ralph Nader,Adams,,President,Independent,131
Ralph Nader,Allen,,President,Independent,362
Ralph Nader,Ashland,,President,Independent,225
Ralph Nader,Ashtabula,,President,Independent,456
Ralph Nader,Athens,,President,Independent,263
Ralph Nader,Auglaize,,President,Independent,169
Ralph Nader,Belmont,,President,Independent,402
Ralph Nader,Brown,,President,Independent,220
Ralph Nader,Butler,,President,Independent,1039
Ralph Nader,Carroll,,President,Independent,213
Ralph Nader,Champaign,,President,Independent,196
Ralph Nader,Clark,,President,Independent,661
Ralph Nader,Clermont,,President,Independent,599
Ralph Nader,Clinton,,President,Independent,197
Ralph Nader,Columbiana,,President,Independent,545
Ralph Nader,Coshocton,,President,Independent,221
Ralph Nader,Crawford,,President,Independent,242
Ralph Nader,Cuyahoga,,President,Independent,3616
Ralph Nader,Darke,,President,Independent,273
Ralph Nader,Defiance,,President,Independent,154
Ralph Nader,Delaware,,President,Independent,359
Ralph Nader,Erie,,President,Independent,349
Ralph Nader,Fairfield,,President,Independent,493
Ralph Nader,Fayette,,President,Independent,103
Ralph Nader,Franklin,,President,Independent,2993
Ralph Nader,Fulton,,President,Independent,167
Ralph Nader,Gallia,,President,Independent,132
Ralph Nader,Geauga,,President,Independent,379
Ralph Nader,Greene,,President,Independent,510
Ralph Nader,Guernsey,,President,Independent,228
Ralph Nader,Hamilton,,President,Independent,1903
Ralph Nader,Hancock,,President,Independent,309
Ralph Nader,Hardin,,President,Independent,139
Ralph Nader,Harrison,,President,Independent,104
Ralph Nader,Henry,,President,Independent,115
Ralph Nader,Highland,,President,Independent,204
Ralph Nader,Hocking,,President,Independent,154
Ralph Nader,Holmes,,President,Independent,113
Ralph Nader,Huron,,President,Independent,212
Ralph Nader,Jackson,,President,Independent,179
Ralph Nader,Jefferson,,President,Independent,395
Ralph Nader,Knox,,President,Independent,233
Ralph Nader,Lake,,President,Independent,1086
Ralph Nader,Lawrence,,President,Independent,282
Ralph Nader,Licking,,President,Independent,685
Ralph Nader,Logan,,President,Independent,208
Ralph Nader,Lorain,,President,Independent,1273
Ralph Nader,Lucas,,President,Independent,1488
Ralph Nader,Madison,,President,Independent,142
Ralph Nader,Mahoning,,President,Independent,1300
Ralph Nader,Marion,,President,Independent,301
Ralph Nader,Medina,,President,Independent,638
Ralph Nader,Meigs,,President,Independent,111
Ralph Nader,Mercer,,President,Independent,127
Ralph Nader,Miami,,President,Independent,426
Ralph Nader,Monroe,,President,Independent,116
Ralph Nader,Montgomery,,President,Independent,1734
Ralph Nader,Morgan,,President,Independent,106
Ralph Nader,Morrow,,President,Independent,179
Ralph Nader,Muskingum,,President,Independent,364
Ralph Nader,Noble,,President,Independent,141
Ralph Nader,Ottawa,,President,Independent,194
Ralph Nader,Paulding,,President,Independent,127
Ralph Nader,Perry,,President,Independent,206
Ralph Nader,Pickaway,,President,Independent,210
Ralph Nader,Pike,,President,Independent,143
Ralph Nader,Portage,,President,Independent,664
Ralph Nader,Preble,,President,Independent,227
Ralph Nader,Putnam,,President,Independent,163
Ralph Nader,Richland,,President,Independent,579
Ralph Nader,Ross,,President,Independent,289
Ralph Nader,Sandusky,,President,Independent,300
Ralph Nader,Scioto,,President,Independent,348
Ralph Nader,Seneca,,President,Independent,289
Ralph Nader,Shelby,,President,Independent,230
Ralph Nader,Stark,,President,Independent,1784
Ralph Nader,Summit,,President,Independent,1758
Ralph Nader,Trumbull,,President,Independent,1285
Ralph Nader,Tuscarawas,,President,Independent,465
Ralph Nader,Union,,President,Independent,173
Ralph Nader,Van Wert,,President,Independent,139
Ralph Nader,Vinton,,President,Independent,94
Ralph Nader,Warren,,President,Independent,488
Ralph Nader,Washington,,President,Independent,285
Ralph Nader,Wayne,,President,Independent,433
Ralph Nader,Williams,,President,Independent,153
Ralph Nader,Wood,,President,Independent,513
Ralph Nader,Wyandot,,President,Independent,134
Barack Obama,Adams,,President,Democratic,4170
Barack Obama,Allen,,President,Democratic,19522
Barack Obama,Ashland,,President,Democratic,9300
Barack Obama,Ashtabula,,President,Democratic,25027
Barack Obama,Athens,,President,Democratic,20722
Barack Obama,Auglaize,,President,Democratic,6738
Barack Obama,Belmont,,President,Democratic,16302
Barack Obama,Brown,,President,Democratic,7503
Barack Obama,Butler,,President,Democratic,66030
Barack Obama,Carroll,,President,Democratic,6423
Barack Obama,Champaign,,President,Democratic,7385
Barack Obama,Clark,,President,Democratic,31958
Barack Obama,Clermont,,President,Democratic,31611
Barack Obama,Clinton,,President,Democratic,6558
Barack Obama,Columbiana,,President,Democratic,21882
Barack Obama,Coshocton,,President,Democratic,7689
Barack Obama,Crawford,,President,Democratic,8289
Barack Obama,Cuyahoga,,President,Democratic,458422
Barack Obama,Darke,,President,Democratic,7964
Barack Obama,Defiance,,President,Democratic,8399
Barack Obama,Delaware,,President,Democratic,36653
Barack Obama,Erie,,President,Democratic,23148
Barack Obama,Fairfield,,President,Democratic,29250
Barack Obama,Fayette,,President,Democratic,4401
Barack Obama,Franklin,,President,Democratic,334709
Barack Obama,Fulton,,President,Democratic,9900
Barack Obama,Gallia,,President,Democratic,4777
Barack Obama,Geauga,,President,Democratic,21250
Barack Obama,Greene,,President,Democratic,33540
Barack Obama,Guernsey,,President,Democratic,7625
Barack Obama,Hamilton,,President,Democratic,225213
Barack Obama,Hancock,,President,Democratic,13870
Barack Obama,Hardin,,President,Democratic,5013
Barack Obama,Harrison,,President,Democratic,3683
Barack Obama,Henry,,President,Democratic,6320
Barack Obama,Highland,,President,Democratic,6856
Barack Obama,Hocking,,President,Democratic,6259
Barack Obama,Holmes,,President,Democratic,3141
Barack Obama,Huron,,President,Democratic,12076
Barack Obama,Jackson,,President,Democratic,5397
Barack Obama,Jefferson,,President,Democratic,17635
Barack Obama,Knox,,President,Democratic,11014
Barack Obama,Lake,,President,Democratic,60155
Barack Obama,Lawrence,,President,Democratic,11262
Barack Obama,Licking,,President,Democratic,33932
Barack Obama,Logan,,President,Democratic,7936
Barack Obama,Lorain,,President,Democratic,85276
Barack Obama,Lucas,,President,Democratic,142852
Barack Obama,Madison,,President,Democratic,6532
Barack Obama,Mahoning,,President,Democratic,79173
Barack Obama,Marion,,President,Democratic,12870
Barack Obama,Medina,,President,Democratic,40924
Barack Obama,Meigs,,President,Democratic,4094
Barack Obama,Mercer,,President,Democratic,5853
Barack Obama,Miami,,President,Democratic,18372
Barack Obama,Monroe,,President,Democratic,3705
Barack Obama,Montgomery,,President,Democratic,145997
Barack Obama,Morgan,,President,Democratic,2966
Barack Obama,Morrow,,President,Democratic,6177
Barack Obama,Muskingum,,President,Democratic,17730
Barack Obama,Noble,,President,Democratic,2474
Barack Obama,Ottawa,,President,Democratic,12064
Barack Obama,Paulding,,President,Democratic,4165
Barack Obama,Perry,,President,Democratic,7261
Barack Obama,Pickaway,,President,Democratic,9077
Barack Obama,Pike,,President,Democratic,6033
Barack Obama,Portage,,President,Democratic,41856
Barack Obama,Preble,,President,Democratic,6999
Barack Obama,Putnam,,President,Democratic,5281
Barack Obama,Richland,,President,Democratic,25727
Barack Obama,Ross,,President,Democratic,14455
Barack Obama,Sandusky,,President,Democratic,15602
Barack Obama,Scioto,,President,Democratic,14926
Barack Obama,Seneca,,President,Democratic,13087
Barack Obama,Shelby,,President,Democratic,7316
Barack Obama,Stark,,President,Democratic,96990
Barack Obama,Summit,,President,Democratic,160858
Barack Obama,Trumbull,,President,Democratic,64145
Barack Obama,Tuscarawas,,President,Democratic,21498
Barack Obama,Union,,President,Democratic,8761
Barack Obama,Van Wert,,President,Democratic,5178
Barack Obama,Vinton,,President,Democratic,2463
Barack Obama,Warren,,President,Democratic,33398
Barack Obama,Washington,,President,Democratic,12368
Barack Obama,Wayne,,President,Democratic,21712
Barack Obama,Williams,,President,Democratic,8174
Barack Obama,Wood,,President,Democratic,34285
Barack Obama,Wyandot,,President,Democratic,4461
Platt Robertson,Adams,,President,Independent,0
Platt Robertson,Allen,,President,Independent,0
Platt Robertson,Ashland,,President,Independent,0
Platt Robertson,Ashtabula,,President,Independent,0
Platt Robertson,Athens,,President,Independent,0
Platt Robertson,Auglaize,,President,Independent,0
Platt Robertson,Belmont,,President,Independent,0
Platt Robertson,Brown,,President,Independent,0
Platt Robertson,Butler,,President,Independent,0
Platt Robertson,Carroll,,President,Independent,0
Platt Robertson,Champaign,,President,Independent,0
Platt Robertson,Clark,,President,Independent,0
Platt Robertson,Clermont,,President,Independent,0
Platt Robertson,Clinton,,President,Independent,0
Platt Robertson,Columbiana,,President,Independent,0
Platt Robertson,Coshocton,,President,Independent,0
Platt Robertson,Crawford,,President,Independent,0
Platt Robertson,Cuyahoga,,President,Independent,0
Platt Robertson,Darke,,President,Independent,0
Platt Robertson,Defiance,,President,Independent,0
Platt Robertson,Delaware,,President,Independent,0
Platt Robertson,Erie,,President,Independent,0
Platt Robertson,Fairfield,,President,Independent,0
Platt Robertson,Fayette,,President,Independent,0
Platt Robertson,Franklin,,President,Independent,0
Platt Robertson,Fulton,,President,Independent,0
Platt Robertson,Gallia,,President,Independent,0
Platt Robertson,Geauga,,President,Independent,0
Platt Robertson,Greene,,President,Independent,0
Platt Robertson,Guernsey,,President,Independent,0
Platt Robertson,Hamilton,,President,Independent,0
Platt Robertson,Hancock,,President,Independent,0
Platt Robertson,Hardin,,President,Independent,0
Platt Robertson,Harrison,,President,Independent,0
Platt Robertson,Henry,,President,Independent,0
Platt Robertson,Highland,,President,Independent,0
Platt Robertson,Hocking,,President,Independent,0
Platt Robertson,Holmes,,President,Independent,0
Platt Robertson,Huron,,President,Independent,63
Platt Robertson,Jackson,,President,Independent,0
Platt Robertson,Jefferson,,President,Independent,0
Platt Robertson,Knox,,President,Independent,0
Platt Robertson,Lake,,President,Independent,0
Platt Robertson,Lawrence,,President,Independent,0
Platt Robertson,Licking,,President,Independent,0
Platt Robertson,Logan,,President,Independent,0
Platt Robertson,Lorain,,President,Independent,0
Platt Robertson,Lucas,,President,Independent,0
Platt Robertson,Madison,,President,Independent,0
Platt Robertson,Mahoning,,President,Independent,0
Platt Robertson,Marion,,President,Independent,0
Platt Robertson,Medina,,President,Independent,0
Platt Robertson,Meigs,,President,Independent,0
Platt Robertson,Mercer,,President,Independent,0
Platt Robertson,Miami,,President,Independent,0
Platt Robertson,Monroe,,President,Independent,0
Platt Robertson,Montgomery,,President,Independent,0
Platt Robertson,Morgan,,President,Independent,0
Platt Robertson,Morrow,,President,Independent,0
Platt Robertson,Muskingum,,President,Independent,0
Platt Robertson,Noble,,President,Independent,0
Platt Robertson,Ottawa,,President,Independent,0
Platt Robertson,Paulding,,President,Independent,0
Platt Robertson,Perry,,President,Independent,0
Platt Robertson,Pickaway,,President,Independent,0
Platt Robertson,Pike,,President,Independent,0
Platt Robertson,Portage,,President,Independent,0
Platt Robertson,Preble,,President,Independent,0
Platt Robertson,Putnam,,President,Independent,0
Platt Robertson,Richland,,President,Independent,0
Platt Robertson,Ross,,President,Independent,0
Platt Robertson,Sandusky,,President,Independent,0
Platt Robertson,Scioto,,President,Independent,0
Platt Robertson,Seneca,,President,Independent,0
Platt Robertson,Shelby,,President,Independent,0
Platt Robertson,Stark,,President,Independent,0
Platt Robertson,Summit,,President,Independent,0
Platt Robertson,Trumbull,,President,Independent,0
Platt Robertson,Tuscarawas,,President,Independent,0
Platt Robertson,Union,,President,Independent,0
Platt Robertson,Van Wert,,President,Independent,0
Platt Robertson,Vinton,,President,Independent,0
Platt Robertson,Warren,,President,Independent,0
Platt Robertson,Washington,,President,Independent,0
Platt Robertson,Wayne,,President,Independent,0
Platt Robertson,Williams,,President,Independent,0
Platt Robertson,Wood,,President,Independent,0
Platt Robertson,Wyandot,,President,Independent,0
Joe Schriner,Adams,,President,Independent,0
Joe Schriner,Allen,,President,Independent,0
Joe Schriner,Ashland,,President,Independent,1
Joe Schriner,Ashtabula,,President,Independent,1
Joe Schriner,Athens,,President,Independent,2
Joe Schriner,Auglaize,,President,Independent,0
Joe Schriner,Belmont,,President,Independent,1
Joe Schriner,Brown,,President,Independent,0
Joe Schriner,Butler,,President,Independent,0
Joe Schriner,Carroll,,President,Independent,0
Joe Schriner,Champaign,,President,Independent,0
Joe Schriner,Clark,,President,Independent,0
Joe Schriner,Clermont,,President,Independent,0
Joe Schriner,Clinton,,President,Independent,0
Joe Schriner,Columbiana,,President,Independent,0
Joe Schriner,Coshocton,,President,Independent,0
Joe Schriner,Crawford,,President,Independent,0
Joe Schriner,Cuyahoga,,President,Independent,21
Joe Schriner,Darke,,President,Independent,0
Joe Schriner,Defiance,,President,Independent,0
Joe Schriner,Delaware,,President,Independent,2
Joe Schriner,Erie,,President,Independent,0
Joe Schriner,Fairfield,,President,Independent,1
Joe Schriner,Fayette,,President,Independent,0
Joe Schriner,Franklin,,President,Independent,8
Joe Schriner,Fulton,,President,Independent,0
Joe Schriner,Gallia,,President,Independent,0
Joe Schriner,Geauga,,President,Independent,3
Joe Schriner,Greene,,President,Independent,0
Joe Schriner,Guernsey,,President,Independent,0
Joe Schriner,Hamilton,,President,Independent,4
Joe Schriner,Hancock,,President,Independent,0
Joe Schriner,Hardin,,President,Independent,0
Joe Schriner,Harrison,,President,Independent,0
Joe Schriner,Henry,,President,Independent,0
Joe Schriner,Highland,,President,Independent,0
Joe Schriner,Hocking,,President,Independent,0
Joe Schriner,Holmes,,President,Independent,0
Joe Schriner,Huron,,President,Independent,0
Joe Schriner,Jackson,,President,Independent,0
Joe Schriner,Jefferson,,President,Independent,2
Joe Schriner,Knox,,President,Independent,4
Joe Schriner,Lake,,President,Independent,0
Joe Schriner,Lawrence,,President,Independent,0
Joe Schriner,Licking,,President,Independent,0
Joe Schriner,Logan,,President,Independent,0
Joe Schriner,Lorain,,President,Independent,0
Joe Schriner,Lucas,,President,Independent,4
Joe Schriner,Madison,,President,Independent,0
Joe Schriner,Mahoning,,President,Independent,0
Joe Schriner,Marion,,President,Independent,0
Joe Schriner,Medina,,President,Independent,0
Joe Schriner,Meigs,,President,Independent,0
Joe Schriner,Mercer,,President,Independent,0
Joe Schriner,Miami,,President,Independent,0
Joe Schriner,Monroe,,President,Independent,0
Joe Schriner,Montgomery,,President,Independent,1
Joe Schriner,Morgan,,President,Independent,0
Joe Schriner,Morrow,,President,Independent,0
Joe Schriner,Muskingum,,President,Independent,0
Joe Schriner,Noble,,President,Independent,0
Joe Schriner,Ottawa,,President,Independent,1
Joe Schriner,Paulding,,President,Independent,0
Joe Schriner,Perry,,President,Independent,0
Joe Schriner,Pickaway,,President,Independent,0
Joe Schriner,Pike,,President,Independent,0
Joe Schriner,Portage,,President,Independent,0
Joe Schriner,Preble,,President,Independent,0
Joe Schriner,Putnam,,President,Independent,0
Joe Schriner,Richland,,President,Independent,0
Joe Schriner,Ross,,President,Independent,0
Joe Schriner,Sandusky,,President,Independent,0
Joe Schriner,Scioto,,President,Independent,0
Joe Schriner,Seneca,,President,Independent,0
Joe Schriner,Shelby,,President,Independent,5
Joe Schriner,Stark,,President,Independent,4
Joe Schriner,Summit,,President,Independent,3
Joe Schriner,Trumbull,,President,Independent,0
Joe Schriner,Tuscarawas,,President,Independent,0
Joe Schriner,Union,,President,Independent,0
Joe Schriner,Van Wert,,President,Independent,0
Joe Schriner,Vinton,,President,Independent,0
Joe Schriner,Warren,,President,Independent,0
Joe Schriner,Washington,,President,Independent,0
Joe Schriner,Wayne,,President,Independent,3
Joe Schriner,Williams,,President,Independent,0
Joe Schriner,Wood,,President,Independent,0
Joe Schriner,Wyandot,,President,Independent,0
Richard Cordray,Adams,,Attorney General,Democratic,4589
Richard Cordray,Allen,,Attorney General,Democratic,19158
Richard Cordray,Ashland,,Attorney General,Democratic,9549
Richard Cordray,Ashtabula,,Attorney General,Democratic,25470
Richard Cordray,Athens,,Attorney General,Democratic,19412
Richard Cordray,Auglaize,,Attorney General,Democratic,7566
Richard Cordray,Belmont,,Attorney General,Democratic,17806
Richard Cordray,Brown,,Attorney General,Democratic,9127
Richard Cordray,Butler,,Attorney General,Democratic,63818
Richard Cordray,Carroll,,Attorney General,Democratic,6121
Richard Cordray,Champaign,,Attorney General,Democratic,8002
Richard Cordray,Clark,,Attorney General,Democratic,34233
Richard Cordray,Clermont,,Attorney General,Democratic,32870
Richard Cordray,Clinton,,Attorney General,Democratic,6765
Richard Cordray,Columbiana,,Attorney General,Democratic,25293
Richard Cordray,Coshocton,,Attorney General,Democratic,7668
Richard Cordray,Crawford,,Attorney General,Democratic,9398
Richard Cordray,Cuyahoga,,Attorney General,Democratic,406935
Richard Cordray,Darke,,Attorney General,Democratic,8118
Richard Cordray,Defiance,,Attorney General,Democratic,8382
Richard Cordray,Delaware,,Attorney General,Democratic,37303
Richard Cordray,Erie,,Attorney General,Democratic,23127
Richard Cordray,Fairfield,,Attorney General,Democratic,32319
Richard Cordray,Fayette,,Attorney General,Democratic,5066
Richard Cordray,Franklin,,Attorney General,Democratic,350631
Richard Cordray,Fulton,,Attorney General,Democratic,8981
Richard Cordray,Gallia,,Attorney General,Democratic,4398
Richard Cordray,Geauga,,Attorney General,Democratic,21296
