county,candidate,votes,party,office,district
Scioto,Fred Thompson,65,Republican,President,6
Washington,Fred Thompson,155,Republican,President,6
Clark,Mike Huckabee,5860,Republican,President,7
Fairfield,Mike Huckabee,6942,Republican,President,7
Fayette,Mike Huckabee,1400,Republican,President,7
Franklin,Mike Huckabee,2203,Republican,President,7
Greene,Mike Huckabee,8946,Republican,President,7
Perry,Mike Huckabee,1401,Republican,President,7
Pickaway,Mike Huckabee,2026,Republican,President,7
Ross,Mike Huckabee,401,Republican,President,7
Clark,John McCain,8491,Republican,President,7
Fairfield,John McCain,12062,Republican,President,7
Fayette,John McCain,2041,Republican,President,7
Franklin,John McCain,3304,Republican,President,7
Greene,John McCain,12437,Republican,President,7
Perry,John McCain,1827,Republican,President,7
Pickaway,John McCain,2649,Republican,President,7
Ross,John McCain,453,Republican,President,7
Clark,Ron Paul,482,Republican,President,7
Fairfield,Ron Paul,1057,Republican,President,7
Fayette,Ron Paul,110,Republican,President,7
Franklin,Ron Paul,267,Republican,President,7
Greene,Ron Paul,785,Republican,President,7
Perry,Ron Paul,158,Republican,President,7
Pickaway,Ron Paul,210,Republican,President,7
Ross,Ron Paul,36,Republican,President,7
Clark,Mitt Romney,510,Republican,President,7
Fairfield,Mitt Romney,814,Republican,President,7
Fayette,Mitt Romney,140,Republican,President,7
Franklin,Mitt Romney,344,Republican,President,7
Greene,Mitt Romney,954,Republican,President,7
Perry,Mitt Romney,107,Republican,President,7
Pickaway,Mitt Romney,168,Republican,President,7
Ross,Mitt Romney,60,Republican,President,7
Clark,Fred Thompson,267,Republican,President,7
Fairfield,Fred Thompson,521,Republican,President,7
Fayette,Fred Thompson,86,Republican,President,7
Franklin,Fred Thompson,209,Republican,President,7
Greene,Fred Thompson,462,Republican,President,7
Perry,Fred Thompson,108,Republican,President,7
Pickaway,Fred Thompson,142,Republican,President,7
Ross,Fred Thompson,28,Republican,President,7
Butler,Mike Huckabee,12243,Republican,President,8
Darke,Mike Huckabee,2603,Republican,President,8
Mercer,Mike Huckabee,1235,Republican,President,8
Miami,Mike Huckabee,5660,Republican,President,8
Montgomery,Mike Huckabee,2736,Republican,President,8
Preble,Mike Huckabee,2636,Republican,President,8
Butler,John McCain,17894,Republican,President,8
Darke,John McCain,3406,Republican,President,8
Mercer,John McCain,1714,Republican,President,8
Miami,John McCain,8098,Republican,President,8
Montgomery,John McCain,3189,Republican,President,8
Preble,John McCain,2966,Republican,President,8
Butler,Ron Paul,1052,Republican,President,8
Darke,Ron Paul,285,Republican,President,8
Mercer,Ron Paul,299,Republican,President,8
Miami,Ron Paul,618,Republican,President,8
Montgomery,Ron Paul,257,Republican,President,8
Preble,Ron Paul,258,Republican,President,8
Butler,Mitt Romney,1645,Republican,President,8
Darke,Mitt Romney,261,Republican,President,8
Mercer,Mitt Romney,175,Republican,President,8
Miami,Mitt Romney,808,Republican,President,8
Montgomery,Mitt Romney,309,Republican,President,8
Preble,Mitt Romney,239,Republican,President,8
Butler,Fred Thompson,757,Republican,President,8
Darke,Fred Thompson,159,Republican,President,8
Mercer,Fred Thompson,64,Republican,President,8
Miami,Fred Thompson,341,Republican,President,8
Montgomery,Fred Thompson,188,Republican,President,8
Preble,Fred Thompson,158,Republican,President,8
Erie,Mike Huckabee,1823,Republican,President,9
Lorain,Mike Huckabee,1696,Republican,President,9
Lucas,Mike Huckabee,6238,Republican,President,9
Ottawa,Mike Huckabee,1109,Republican,President,9
Erie,John McCain,3435,Republican,President,9
Lorain,John McCain,3087,Republican,President,9
Lucas,John McCain,11802,Republican,President,9
Ottawa,John McCain,1997,Republican,President,9
Erie,Ron Paul,317,Republican,President,9
Lorain,Ron Paul,304,Republican,President,9
Lucas,Ron Paul,1726,Republican,President,9
Ottawa,Ron Paul,199,Republican,President,9
Erie,Mitt Romney,341,Republican,President,9
Lorain,Mitt Romney,356,Republican,President,9
Lucas,Mitt Romney,1761,Republican,President,9
Ottawa,Mitt Romney,254,Republican,President,9
Erie,Fred Thompson,129,Republican,President,9
Lorain,Fred Thompson,169,Republican,President,9
Lucas,Fred Thompson,549,Republican,President,9
Ottawa,Fred Thompson,85,Republican,President,9
Cuyahoga,Mike Huckabee,7418,Republican,President,10
Cuyahoga,John McCain,21838,Republican,President,10
Cuyahoga,Ron Paul,1867,Republican,President,10
Cuyahoga,Mitt Romney,1662,Republican,President,10
Cuyahoga,Fred Thompson,645,Republican,President,10
Cuyahoga,Mike Huckabee,2625,Republican,President,11
Cuyahoga,John McCain,9064,Republican,President,11
Cuyahoga,Ron Paul,845,Republican,President,11
Cuyahoga,Mitt Romney,712,Republican,President,11
Cuyahoga,Fred Thompson,289,Republican,President,11
Delaware,Mike Huckabee,6714,Republican,President,12
Franklin,Mike Huckabee,8958,Republican,President,12
Licking,Mike Huckabee,4583,Republican,President,12
Delaware,John McCain,14132,Republican,President,12
Franklin,John McCain,18402,Republican,President,12
Licking,John McCain,7814,Republican,President,12
Delaware,Ron Paul,1141,Republican,President,12
Franklin,Ron Paul,1700,Republican,President,12
Licking,Ron Paul,865,Republican,President,12
Delaware,Mitt Romney,1067,Republican,President,12
Franklin,Mitt Romney,1822,Republican,President,12
Licking,Mitt Romney,783,Republican,President,12
Delaware,Fred Thompson,438,Republican,President,12
Franklin,Fred Thompson,928,Republican,President,12
Licking,Fred Thompson,410,Republican,President,12
Cuyahoga,Mike Huckabee,2067,Republican,President,13
Lorain,Mike Huckabee,3208,Republican,President,13
Medina,Mike Huckabee,1195,Republican,President,13
Summit,Mike Huckabee,5089,Republican,President,13
Cuyahoga,John McCain,5835,Republican,President,13
Lorain,John McCain,7454,Republican,President,13
Medina,John McCain,2548,Republican,President,13
Summit,John McCain,9189,Republican,President,13
Cuyahoga,Ron Paul,472,Republican,President,13
Lorain,Ron Paul,566,Republican,President,13
Medina,Ron Paul,256,Republican,President,13
Summit,Ron Paul,1025,Republican,President,13
Cuyahoga,Mitt Romney,533,Republican,President,13
Lorain,Mitt Romney,609,Republican,President,13
Medina,Mitt Romney,249,Republican,President,13
Summit,Mitt Romney,1289,Republican,President,13
Cuyahoga,Fred Thompson,175,Republican,President,13
Lorain,Fred Thompson,320,Republican,President,13
Medina,Fred Thompson,146,Republican,President,13
Summit,Fred Thompson,461,Republican,President,13
Ashtabula,Mike Huckabee,2769,Republican,President,14
Cuyahoga,Mike Huckabee,746,Republican,President,14
Geauga,Mike Huckabee,2487,Republican,President,14
Lake,Mike Huckabee,5135,Republican,President,14
Portage,Mike Huckabee,804,Republican,President,14
Summit,Mike Huckabee,3273,Republican,President,14
Trumbull,Mike Huckabee,346,Republican,President,14
Ashtabula,John McCain,3818,Republican,President,14
Cuyahoga,John McCain,3645,Republican,President,14
Geauga,John McCain,6013,Republican,President,14
Lake,John McCain,12203,Republican,President,14
Portage,John McCain,2021,Republican,President,14
Summit,John McCain,7373,Republican,President,14
Trumbull,John McCain,400,Republican,President,14
Ashtabula,Ron Paul,682,Republican,President,14
Cuyahoga,Ron Paul,174,Republican,President,14
Geauga,Ron Paul,674,Republican,President,14
Lake,Ron Paul,1282,Republican,President,14
Portage,Ron Paul,205,Republican,President,14
Summit,Ron Paul,553,Republican,President,14
Trumbull,Ron Paul,62,Republican,President,14
Ashtabula,Mitt Romney,329,Republican,President,14
Cuyahoga,Mitt Romney,251,Republican,President,14
Geauga,Mitt Romney,511,Republican,President,14
Lake,Mitt Romney,981,Republican,President,14
Portage,Mitt Romney,224,Republican,President,14
Summit,Mitt Romney,893,Republican,President,14
Trumbull,Mitt Romney,48,Republican,President,14
Ashtabula,Fred Thompson,214,Republican,President,14
Cuyahoga,Fred Thompson,63,Republican,President,14
Geauga,Fred Thompson,199,Republican,President,14
Lake,Fred Thompson,458,Republican,President,14
Portage,Fred Thompson,76,Republican,President,14
Summit,Fred Thompson,285,Republican,President,14
Trumbull,Fred Thompson,38,Republican,President,14
Franklin,Mike Huckabee,12768,Republican,President,15
Madison,Mike Huckabee,1709,Republican,President,15
Union,Mike Huckabee,2767,Republican,President,15
Franklin,John McCain,25436,Republican,President,15
Madison,John McCain,2844,Republican,President,15
Union,John McCain,4418,Republican,President,15
Franklin,Ron Paul,2627,Republican,President,15
Madison,Ron Paul,187,Republican,President,15
Union,Ron Paul,330,Republican,President,15
Franklin,Mitt Romney,2794,Republican,President,15
Madison,Mitt Romney,175,Republican,President,15
Union,Mitt Romney,378,Republican,President,15
Franklin,Fred Thompson,1331,Republican,President,15
Madison,Fred Thompson,122,Republican,President,15
Union,Fred Thompson,240,Republican,President,15
Ashland,Mike Huckabee,2150,Republican,President,16
Medina,Mike Huckabee,3951,Republican,President,16
Stark,Mike Huckabee,12414,Republican,President,16
Wayne,Mike Huckabee,5254,Republican,President,16
Ashland,John McCain,2754,Republican,President,16
Medina,John McCain,7777,Republican,President,16
Stark,John McCain,22130,Republican,President,16
Wayne,John McCain,6634,Republican,President,16
Ashland,Ron Paul,444,Republican,President,16
Medina,Ron Paul,754,Republican,President,16
Stark,Ron Paul,2432,Republican,President,16
Wayne,Ron Paul,903,Republican,President,16
Ashland,Mitt Romney,276,Republican,President,16
Medina,Mitt Romney,895,Republican,President,16
Stark,Mitt Romney,2133,Republican,President,16
Wayne,Mitt Romney,762,Republican,President,16
Ashland,Fred Thompson,141,Republican,President,16
Medina,Fred Thompson,404,Republican,President,16
Stark,Fred Thompson,950,Republican,President,16
Wayne,Fred Thompson,350,Republican,President,16
Mahoning,Mike Huckabee,178,Republican,President,17
Portage,Mike Huckabee,2303,Republican,President,17
Summit,Mike Huckabee,2711,Republican,President,17
Trumbull,Mike Huckabee,3513,Republican,President,17
Mahoning,John McCain,1780,Republican,President,17
Portage,John McCain,3480,Republican,President,17
Summit,John McCain,3888,Republican,President,17
Trumbull,John McCain,5368,Republican,President,17
Mahoning,Ron Paul,248,Republican,President,17
Portage,Ron Paul,534,Republican,President,17
Summit,Ron Paul,485,Republican,President,17
Trumbull,Ron Paul,739,Republican,President,17
Mahoning,Mitt Romney,212,Republican,President,17
Portage,Mitt Romney,432,Republican,President,17
Summit,Mitt Romney,480,Republican,President,17
Trumbull,Mitt Romney,538,Republican,President,17
Mahoning,Fred Thompson,128,Republican,President,17
Portage,Fred Thompson,222,Republican,President,17
Summit,Fred Thompson,218,Republican,President,17
Trumbull,Fred Thompson,314,Republican,President,17
Athens,Mike Huckabee,229,Republican,President,18
Belmont,Mike Huckabee,409,Republican,President,18
Carroll,Mike Huckabee,1308,Republican,President,18
Coshocton,Mike Huckabee,1638,Republican,President,18
Guernsey,Mike Huckabee,1586,Republican,President,18
Harrison,Mike Huckabee,487,Republican,President,18
Hocking,Mike Huckabee,960,Republican,President,18
Holmes,Mike Huckabee,1544,Republican,President,18
Jackson,Mike Huckabee,1515,Republican,President,18
Knox,Mike Huckabee,2834,Republican,President,18
Licking,Mike Huckabee,2331,Republican,President,18
Morgan,Mike Huckabee,877,Republican,President,18
Muskingum,Mike Huckabee,4754,Republican,President,18
Ross,Mike Huckabee,2229,Republican,President,18
Tuscarawas,Mike Huckabee,2816,Republican,President,18
Vinton,Mike Huckabee,572,Republican,President,18
Athens,John McCain,341,Republican,President,18
Belmont,John McCain,691,Republican,President,18
Carroll,John McCain,1839,Republican,President,18
Coshocton,John McCain,2256,Republican,President,18
Guernsey,John McCain,2179,Republican,President,18
Harrison,John McCain,796,Republican,President,18
Hocking,John McCain,1293,Republican,President,18
Holmes,John McCain,1765,Republican,President,18
Jackson,John McCain,2077,Republican,President,18
Knox,John McCain,3724,Republican,President,18
Licking,John McCain,3517,Republican,President,18
Morgan,John McCain,1261,Republican,President,18
Muskingum,John McCain,6302,Republican,President,18
Ross,John McCain,2739,Republican,President,18
Tuscarawas,John McCain,3674,Republican,President,18
Vinton,John McCain,808,Republican,President,18
Athens,Ron Paul,125,Republican,President,18
Belmont,Ron Paul,36,Republican,President,18
Carroll,Ron Paul,275,Republican,President,18
Coshocton,Ron Paul,235,Republican,President,18
Guernsey,Ron Paul,182,Republican,President,18
Harrison,Ron Paul,60,Republican,President,18
Hocking,Ron Paul,175,Republican,President,18
Holmes,Ron Paul,223,Republican,President,18
Jackson,Ron Paul,109,Republican,President,18
Knox,Ron Paul,590,Republican,President,18
Licking,Ron Paul,472,Republican,President,18
Morgan,Ron Paul,164,Republican,President,18
Muskingum,Ron Paul,561,Republican,President,18
Ross,Ron Paul,193,Republican,President,18
Tuscarawas,Ron Paul,400,Republican,President,18
Vinton,Ron Paul,39,Republican,President,18
Athens,Mitt Romney,19,Republican,President,18
Belmont,Mitt Romney,69,Republican,President,18
Carroll,Mitt Romney,166,Republican,President,18
Coshocton,Mitt Romney,159,Republican,President,18
Guernsey,Mitt Romney,164,Republican,President,18
Harrison,Mitt Romney,62,Republican,President,18
Hocking,Mitt Romney,56,Republican,President,18
Holmes,Mitt Romney,222,Republican,President,18
Jackson,Mitt Romney,87,Republican,President,18
Knox,Mitt Romney,357,Republican,President,18
Licking,Mitt Romney,276,Republican,President,18
Morgan,Mitt Romney,45,Republican,President,18
Muskingum,Mitt Romney,444,Republican,President,18
Ross,Mitt Romney,231,Republican,President,18
Tuscarawas,Mitt Romney,313,Republican,President,18
Vinton,Mitt Romney,36,Republican,President,18
Athens,Fred Thompson,22,Republican,President,18
Belmont,Fred Thompson,55,Republican,President,18
Carroll,Fred Thompson,103,Republican,President,18
Coshocton,Fred Thompson,106,Republican,President,18
Guernsey,Fred Thompson,113,Republican,President,18
Harrison,Fred Thompson,55,Republican,President,18
Hocking,Fred Thompson,76,Republican,President,18
Holmes,Fred Thompson,105,Republican,President,18
Jackson,Fred Thompson,100,Republican,President,18
Knox,Fred Thompson,221,Republican,President,18
Licking,Fred Thompson,212,Republican,President,18
Morgan,Fred Thompson,43,Republican,President,18
Muskingum,Fred Thompson,308,Republican,President,18
Ross,Fred Thompson,140,Republican,President,18
Tuscarawas,Fred Thompson,167,Republican,President,18
Vinton,Fred Thompson,43,Republican,President,18
Columbiana,Linda S. Bolon,17130,Democratic,State Representative,1
Delaware,Janice Lanier,12296,Democratic,State Representative,2
Delaware,Kelley Wenzlaff,5505,Democratic,State Representative,2
Wayne,Merle Joe Miller,10569,Democratic,State Representative,3
Wood,Jeffery P. Bretz,13896,Democratic,State Representative,6
Cuyahoga,Kenny Yuko,18705,Democratic,State Representative,7
Cuyahoga,Armond Budish,22507,Democratic,State Representative,8
Cuyahoga,Barbara Boyd,20153,Democratic,State Representative,9
Cuyahoga,Eugene R. Miller,8644,Democratic,State Representative,10
Cuyahoga,Freddie Moore,5868,Democratic,State Representative,10
Cuyahoga,Sandra Williams,11392,Democratic,State Representative,11
Cuyahoga,Michael DeBose,19838,Democratic,State Representative,12
Cuyahoga,Michael J. Skindell,11537,Democratic,State Representative,13
Cuyahoga,Mike Foley,14599,Democratic,State Representative,14
Cuyahoga,Timothy J. DeGeeter,17453,Democratic,State Representative,15
Cuyahoga,Jennifer Brady,16355,Democratic,State Representative,16
Cuyahoga,Bob Belovich,16189,Democratic,State Representative,17
Cuyahoga,Matt Patten,13830,Democratic,State Representative,18
Franklin,Marian Harris,16364,Democratic,State Representative,19
Franklin,Bev Campbell,7924,Democratic,State Representative,20
Franklin,Nancy Garland,10324,Democratic,State Representative,20
Franklin,Jay G. Perez,12852,Democratic,State Representative,21
Franklin,John Patrick Carney,15468,Democratic,State Representative,22
Franklin,Keith Goldhardt,12357,Democratic,State Representative,23
Franklin,Ted Celeste,15489,Democratic,State Representative,24
Franklin,Dan Stewart,13457,Democratic,State Representative,25
Franklin,Tracy Heard,18446,Democratic,State Representative,26
Franklin,Mayo Makinde,2130,Democratic,State Representative,27
Franklin,H. Lee Thompson,5470,Democratic,State Representative,27
Franklin,W. Carlton Weddington,10723,Democratic,State Representative,27
Hamilton,Connie Pillich,12772,Democratic,State Representative,28
Hamilton,Adam Noe,10649,Democratic,State Representative,29
Hamilton,Bob Klug,7806,Democratic,State Representative,30
Hamilton,Denise Driehaus,7709,Democratic,State Representative,31
Hamilton,Dale Mallory,13321,Democratic,State Representative,32
Hamilton,Tyrone K. Yates,18121,Democratic,State Representative,33
Hamilton,Jeff Sinnard,10579,Democratic,State Representative,34
Montgomery,Charles Morton,11400,Democratic,State Representative,36
Montgomery,Andi Eveslage,11010,Democratic,State Representative,37
Montgomery,Susan W. Lienesch,12070,Democratic,State Representative,38
Montgomery,Clayton Luckie,12745,Democratic,State Representative,39
Montgomery,Vic Harris,8349,Democratic,State Representative,40
Montgomery,Roland Winburn,10550,Democratic,State Representative,40
Summit,Brian G. Williams,19803,Democratic,State Representative,41
Summit,Mike Moran,15957,Democratic,State Representative,42
Portage,Stephen Dyer,5376,Democratic,State Representative,43
Summit,Stephen Dyer,13407,Democratic,State Representative,43
Summit,Vernon Sykes,19106,Democratic,State Representative,44
Summit,John R. Otterman,16408,Democratic,State Representative,45
Lucas,Darlene Dunn,14909,Democratic,State Representative,46
Lucas,Peter Ujvagi,14131,Democratic,State Representative,47
Lucas,Edna Brown,18568,Democratic,State Representative,48
Lucas,Matthew A. Szollosi,15069,Democratic,State Representative,49
Stark,Celeste M. DeHoff,7882,Democratic,State Representative,50
Stark,Nick Guarnieri,1618,Democratic,State Representative,50
Stark,Martin Olson,2410,Democratic,State Representative,50
Stark,Mike Stevens,7585,Democratic,State Representative,50
Stark,Vincent J. Strasavich,1336,Democratic,State Representative,50
Stark,James O. Babcock,4050,Democratic,State Representative,52
Stark,Richard A. Hiles,824,Democratic,State Representative,52
Stark,John M. Rinaldi,5380,Democratic,State Representative,52
Stark,Stephen Slesnick,6204,Democratic,State Representative,52
Stark,Thomas E. West,4923,Democratic,State Representative,52
Butler,Rocky Day,7656,Democratic,State Representative,53
Butler,Arnold Engel,4102,Democratic,State Representative,54
Butler,Ken Keith,7331,Democratic,State Representative,54
Butler,Tony Klimek,8839,Democratic,State Representative,55
Lorain,Joseph F. Koziura,17866,Democratic,State Representative,56
Lorain,Matt Lundy,19334,Democratic,State Representative,57
Huron,Matthew Barrett,5536,Democratic,State Representative,58
Lorain,Matthew Barrett,6945,Democratic,State Representative,58
Seneca,Matthew Barrett,1062,Democratic,State Representative,58
Mahoning,Ronald V. Gerberry,29149,Democratic,State Representative,59
Mahoning,Robert F. Hagan,22213,Democratic,State Representative,60
Carroll,Mark D. Okey,4413,Democratic,State Representative,61
Mahoning,Mark D. Okey,4984,Democratic,State Representative,61
Stark,Mark D. Okey,5368,Democratic,State Representative,61
Tuscarawas,Mark D. Okey,2805,Democratic,State Representative,61
Lake,Lorraine M. Fende,17485,Democratic,State Representative,62
Lake,Mark A. Schneider,14059,Democratic,State Representative,63
Trumbull,Tom Letson,19797,Democratic,State Representative,64
Trumbull,Sandra Stabile Harwood,23849,Democratic,State Representative,65
Portage,Kathleen Chandler,17646,Democratic,State Representative,68
Medina,Jack Schira,14643,Democratic,State Representative,69
Greene,Matt Nisenoff,10341,Democratic,State Representative,70
Licking,Howard H. Hill,12743,Democratic,State Representative,71
Clark,Richard G. Spangler,12109,Democratic,State Representative,72
Richland,Jay Goyal,13381,Democratic,State Representative,73
Defiance,David J. Pilliod,3484,Democratic,State Representative,74
Fulton,David J. Pilliod,4159,Democratic,State Representative,74
Williams,David J. Pilliod,2832,Democratic,State Representative,74
Darke,Melissa A. Stanley,1281,Democratic,State Representative,79
Miami,Melissa A. Stanley,9966,Democratic,State Representative,79
Erie,Dennis E. Murray,12869,Democratic,State Representative,80
Ottawa,Dennis E. Murray,5439,Democratic,State Representative,80
Ottawa,Andrew Kashmer,1331,Democratic,State Representative,81
Sandusky,Andrew Kashmer,7588,Democratic,State Representative,81
Seneca,Andrew Kashmer,5011,Democratic,State Representative,81
Crawford,Wanda L. Sharrock,3945,Democratic,State Representative,82
Marion,Wanda L. Sharrock,2574,Democratic,State Representative,82
Wyandot,Wanda L. Sharrock,1132,Democratic,State Representative,82
Crawford,Craig S. Swartz,1629,Democratic,State Representative,82
Marion,Craig S. Swartz,2831,Democratic,State Representative,82
Wyandot,Craig S. Swartz,1437,Democratic,State Representative,82
Clark,Connie Crockett,4757,Democratic,State Representative,84
Greene,Connie Crockett,4173,Democratic,State Representative,84
Madison,Connie Crockett,3156,Democratic,State Representative,84
Fayette,Raymond A. Pryor,2367,Democratic,State Representative,85
Pickaway,Raymond A. Pryor,2379,Democratic,State Representative,85
Ross,Raymond A. Pryor,7647,Democratic,State Representative,85
Clinton,Joy L. Brubaker,2494,Democratic,State Representative,86
Highland,Joy L. Brubaker,1652,Democratic,State Representative,86
Pike,Joy L. Brubaker,1921,Democratic,State Representative,86
Clinton,"William Horne, Jr.",2009,Democratic,State Representative,86
Highland,"William Horne, Jr.",3203,Democratic,State Representative,86
Pike,"William Horne, Jr.",2372,Democratic,State Representative,86
Gallia,Aaron Shane Meldick,2483,Democratic,State Representative,87
Jackson,Aaron Shane Meldick,2915,Democratic,State Representative,87
Lawrence,Aaron Shane Meldick,3388,Democratic,State Representative,87
Ross,Aaron Shane Meldick,1163,Democratic,State Representative,87
Vinton,Aaron Shane Meldick,1577,Democratic,State Representative,87
Adams,Todd Book,921,Democratic,State Representative,89
Lawrence,Todd Book,3929,Democratic,State Representative,89
Scioto,Todd Book,13050,Democratic,State Representative,89
Adams,Larry Joe Clark,745,Democratic,State Representative,89
Lawrence,Larry Joe Clark,2219,Democratic,State Representative,89
Scioto,Larry Joe Clark,3896,Democratic,State Representative,89
Ashland,Duane Grassbaugh,1055,Democratic,State Representative,90
Knox,Duane Grassbaugh,5515,Democratic,State Representative,90
Morrow,Duane Grassbaugh,3065,Democratic,State Representative,90
Richland,Duane Grassbaugh,1764,Democratic,State Representative,90
Hocking,Dan Dodd,3974,Democratic,State Representative,91
Licking,Dan Dodd,4279,Democratic,State Representative,91
Perry,Dan Dodd,4801,Democratic,State Representative,91
Pickaway,Dan Dodd,2833,Democratic,State Representative,91
Athens,Debbie Phillips,10727,Democratic,State Representative,92
Meigs,Debbie Phillips,2595,Democratic,State Representative,92
Morgan,Debbie Phillips,1545,Democratic,State Representative,92
Washington,Debbie Phillips,2340,Democratic,State Representative,92
Guernsey,Jennifer D. Garrison,5116,Democratic,State Representative,93
Monroe,Jennifer D. Garrison,3383,Democratic,State Representative,93
Muskingum,Jennifer D. Garrison,463,Democratic,State Representative,93
Noble,Jennifer D. Garrison,1798,Democratic,State Representative,93
Washington,Jennifer D. Garrison,6192,Democratic,State Representative,93
Coshocton,Jennifer Stewart,4062,Democratic,State Representative,94
Muskingum,Jennifer Stewart,9550,Democratic,State Representative,94
Belmont,John Domenick,8913,Democratic,State Representative,95
Jefferson,John Domenick,11399,Democratic,State Representative,95
Belmont,Jerry W. Krupinski,1940,Democratic,State Representative,95
Jefferson,Jerry W. Krupinski,7708,Democratic,State Representative,95
Belmont,Allan Sayre,5363,Democratic,State Representative,96
Harrison,Allan Sayre,2855,Democratic,State Representative,96
Tuscarawas,Allan Sayre,12387,Democratic,State Representative,96
Ashland,Luke Brewer,2829,Democratic,State Representative,97
Holmes,Luke Brewer,1590,Democratic,State Representative,97
Medina,Luke Brewer,4562,Democratic,State Representative,97
Ashtabula,Deborah A. Newcomb,14014,Democratic,State Representative,99
Trumbull,Deborah A. Newcomb,791,Democratic,State Representative,99
Columbiana,Sharmian Daub,6660,Republican,State Representative,1
Delaware,Douglas P. Crowl,1412,Republican,State Representative,2
Delaware,Kris Jordan,10362,Republican,State Representative,2
Delaware,Jeff Mayle,5912,Republican,State Representative,2
Delaware,"Donald E. Rankey, Jr.",1753,Republican,State Representative,2
Wayne,Ron Amstutz,8979,Republican,State Representative,3
Wayne,Charles D. Hardman,5058,Republican,State Representative,3
Allen,Matt Huffman,11478,Republican,State Representative,4
Fairfield,Gerald L. Stebelton,15672,Republican,State Representative,5
Wood,Randy Gardner,10776,Republican,State Representative,6
Cuyahoga,Beverly Valencic,2571,Republican,State Representative,7
Cuyahoga,Jerry V. Powell,1692,Republican,State Representative,8
Cuyahoga,Charles C. Drake,1287,Republican,State Representative,9
Cuyahoga,Rosalind A. McAllister,943,Republican,State Representative,11
Cuyahoga,Bryan Glencer,922,Republican,State Representative,12
Cuyahoga,Mary-Louise Kirk,1923,Republican,State Representative,13
Cuyahoga,David Morris,2507,Republican,State Representative,14
Cuyahoga,Craig A Niederriter,3679,Republican,State Representative,15
Cuyahoga,Nan A Baker,7428,Republican,State Representative,16
Cuyahoga,Josh Mandel,9047,Republican,State Representative,17
Cuyahoga,Bob Spada,6382,Republican,State Representative,18
Franklin,Brad Lewis,9897,Republican,State Representative,19
Franklin,Jim Mc Gregor,8097,Republican,State Representative,20
Franklin,Kevin Bacon,7262,Republican,State Representative,21
Franklin,Michael H. Keenan,8611,Republican,State Representative,22
Franklin,Cheryl L. Grossman,9853,Republican,State Representative,23
Franklin,Brian Kitchen,1881,Republican,State Representative,24
Franklin,Tim Rankin,6900,Republican,State Representative,24
Franklin,Daryl P. Hennessy,4199,Republican,State Representative,25
Franklin,Joseph A. Healy,2247,Republican,State Representative,26
Franklin,Jim Hunter,1312,Republican,State Representative,27
Hamilton,Jim Raussen,8355,Republican,State Representative,28
Hamilton,"Louis W. Blessing, Jr.",8496,Republican,State Representative,29
Hamilton,Richard L. Hammersmith,6992,Republican,State Representative,30
Hamilton,Bob Mecklenborg,10255,Republican,State Representative,30
Hamilton,Scott Gehring,3067,Republican,State Representative,31
Hamilton,Theo Barnes,1901,Republican,State Representative,32
Hamilton,Thomas G. Brown,2168,Republican,State Representative,33
Hamilton,Greg Delev,4405,Republican,State Representative,34
Hamilton,Russ Jackson,4111,Republican,State Representative,34
Hamilton,Peter Stautberg,4615,Republican,State Representative,34
Hamilton,Grace L. Kendrick,1955,Republican,State Representative,35
Warren,Grace L. Kendrick,1788,Republican,State Representative,35
Hamilton,Ron Maag,2384,Republican,State Representative,35
Warren,Ron Maag,4528,Republican,State Representative,35
Hamilton,John Rabenold,4028,Republican,State Representative,35
Warren,John Rabenold,2376,Republican,State Representative,35
Montgomery,Seth A. Morgan,9506,Republican,State Representative,36
Montgomery,Peggy Lehner,9518,Republican,State Representative,37
Montgomery,Terry Blair,7114,Republican,State Representative,38
Montgomery,Tom Young,5753,Republican,State Representative,38
Montgomery,Joshua S. Smith,1591,Republican,State Representative,39
Montgomery,Ann E. Siefker,3334,Republican,State Representative,40
Summit,Randy Cole,7938,Republican,State Representative,41
Summit,Richard Nero,4906,Republican,State Representative,42
Summit,"Dennis L. Robart, Jr.",4489,Republican,State Representative,42
Portage,Judy Jones,1677,Republican,State Representative,43
Summit,Judy Jones,5213,Republican,State Representative,43
Summit,Joe M. Fazek,3173,Republican,State Representative,45
Lucas,Barbara R. Sears,7922,Republican,State Representative,46
Lucas,Carolyn J. Eyre,1497,Republican,State Representative,48
Lucas,Jeff Wingate,3662,Republican,State Representative,49
Stark,Christina M. Hagan,5074,Republican,State Representative,50
Stark,Todd A. Snitchler,7378,Republican,State Representative,50
Stark,Scott Oelslager,14069,Republican,State Representative,51
Stark,John M. Easterday,4493,Republican,State Representative,52
Butler,Timothy Derickson,4935,Republican,State Representative,53
Butler,Terri King,2214,Republican,State Representative,53
Butler,Paul D. Nenni,4881,Republican,State Representative,53
Butler,Courtney E. Combs,8438,Republican,State Representative,54
Butler,Bill Coley,9986,Republican,State Representative,55
Lorain,Sean P. Stipe,2375,Republican,State Representative,56
Lorain,Daniel C. Urban,6685,Republican,State Representative,57
Huron,Terry R. Boose,3486,Republican,State Representative,58
Lorain,Terry R. Boose,2512,Republican,State Representative,58
Seneca,Terry R. Boose,1005,Republican,State Representative,58
Mahoning,Dick McCarthy,4066,Republican,State Representative,59
Mahoning,"Timothy A. Gordon, Jr.",960,Republican,State Representative,60
Carroll,Kirk Susany,2555,Republican,State Representative,61
Mahoning,Kirk Susany,1496,Republican,State Representative,61
