candidate,county,district,office,party,votes
Barbara Sykes,Vinton,,STATE AUDITOR,Democratic,971
Barbara Sykes,Warren,,STATE AUDITOR,Democratic,2958
Barbara Sykes,Washington,,STATE AUDITOR,Democratic,3347
Barbara Sykes,Wayne,,STATE AUDITOR,Democratic,3969
Barbara Sykes,Williams,,STATE AUDITOR,Democratic,1721
Barbara Sykes,Wood,,STATE AUDITOR,Democratic,5250
Barbara Sykes,Wyandot,,STATE AUDITOR,Democratic,971
Linda S. Bolon,Columbiana, 1,STATE REPRESENTATIVES,Democratic,9988
Bruce Edward Burnworth,Delaware, 2,STATE REPRESENTATIVES,Democratic,4632
Dennis Shreefer,Allen, 4,STATE REPRESENTATIVES,Democratic,3419
Simeon Talley,Allen, 4,STATE REPRESENTATIVES,Democratic,2063
R. Kelly Kirk,Fairfield, 5,STATE REPRESENTATIVES,Democratic,6331
Jeffery P. Bretz,Wood, 6,STATE REPRESENTATIVES,Democratic,3919
"James L. Neu, Jr.",Wood, 6,STATE REPRESENTATIVES,Democratic,1537
Kenny Yuko,Cuyahoga, 7,STATE REPRESENTATIVES,Democratic,7743
Armond Budish,Cuyahoga, 8,STATE REPRESENTATIVES,Democratic,9028
Thaddeus J. Jackson,Cuyahoga, 8,STATE REPRESENTATIVES,Democratic,2804
Marcia L. McCoy,Cuyahoga, 8,STATE REPRESENTATIVES,Democratic,1946
Isaac Powell,Cuyahoga, 8,STATE REPRESENTATIVES,Democratic,610
Barbara Boyd,Cuyahoga, 9,STATE REPRESENTATIVES,Democratic,7242
Julian Rogers,Cuyahoga, 9,STATE REPRESENTATIVES,Democratic,3867
Marilyn Bagley,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,812
"Nelson Cintron, Jr.",Cuyahoga,10,STATE REPRESENTATIVES,Democratic,1050
Ronnie B. Jones,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,581
Eugene R. Miller,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,1226
Freddie Moore,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,1084
Bill Newsome,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,1057
Jocelyn L. Travis,Cuyahoga,10,STATE REPRESENTATIVES,Democratic,809
Cleo L. Busby,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,413
T. J. Dow,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,1925
Mamie J. Mitchell,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,354
Marcella King Piazza,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,653
Stephen D. Sullivan,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,1489
Sandra Williams,Cuyahoga,11,STATE REPRESENTATIVES,Democratic,2109
Michael DeBose,Cuyahoga,12,STATE REPRESENTATIVES,Democratic,8858
Ben Perry,Cuyahoga,13,STATE REPRESENTATIVES,Democratic,1376
Michael J. Skindell,Cuyahoga,13,STATE REPRESENTATIVES,Democratic,6005
Mike Foley,Cuyahoga,14,STATE REPRESENTATIVES,Democratic,4268
Erin Sullivan Lally,Cuyahoga,14,STATE REPRESENTATIVES,Democratic,2569
Susan Mahon,Cuyahoga,14,STATE REPRESENTATIVES,Democratic,1020
Bill Ritter,Cuyahoga,14,STATE REPRESENTATIVES,Democratic,4092
Timothy J. DeGeeter,Cuyahoga,15,STATE REPRESENTATIVES,Democratic,10406
Michael J. O'Shea (WI),Cuyahoga,16,STATE REPRESENTATIVES,Democratic,385
Roger J. Goudy,Cuyahoga,17,STATE REPRESENTATIVES,Democratic,7639
John M. Celebrezze,Cuyahoga,18,STATE REPRESENTATIVES,Democratic,5676
Ronald M. Mottl,Cuyahoga,18,STATE REPRESENTATIVES,Democratic,4337
Marian Harris,Franklin,19,STATE REPRESENTATIVES,Democratic,4779
Beverly Campbell,Franklin,20,STATE REPRESENTATIVES,Democratic,4298
Edward Nyhan,Franklin,20,STATE REPRESENTATIVES,Democratic,1927
Jean Herendeen-Ackerman,Franklin,21,STATE REPRESENTATIVES,Democratic,2676
Dean C. Hernandez,Franklin,21,STATE REPRESENTATIVES,Democratic,2744
John Patrick Carney,Franklin,22,STATE REPRESENTATIVES,Democratic,2630
Jan Fleming,Franklin,22,STATE REPRESENTATIVES,Democratic,1501
Brian Patrick McCann,Franklin,22,STATE REPRESENTATIVES,Democratic,1004
Jimmy Stewart,Franklin,22,STATE REPRESENTATIVES,Democratic,946
Michael Murphy (WI),Franklin,23,STATE REPRESENTATIVES,Democratic,70
James B. Agler,Franklin,24,STATE REPRESENTATIVES,Democratic,258
Ted Celeste,Franklin,24,STATE REPRESENTATIVES,Democratic,3288
Chris Courtney,Franklin,24,STATE REPRESENTATIVES,Democratic,364
Traci Johnson,Franklin,24,STATE REPRESENTATIVES,Democratic,1022
Dan Stewart,Franklin,25,STATE REPRESENTATIVES,Democratic,4062
Clarence E. Glover,Franklin,26,STATE REPRESENTATIVES,Democratic,1449
Tracy Heard,Franklin,26,STATE REPRESENTATIVES,Democratic,3858
Mike Mitchell,Franklin,26,STATE REPRESENTATIVES,Democratic,2215
Joyce Beatty,Franklin,27,STATE REPRESENTATIVES,Democratic,4843
Connie Pillich,Hamilton,28,STATE REPRESENTATIVES,Democratic,2947
Brent Gray,Hamilton,29,STATE REPRESENTATIVES,Democratic,2866
Steve Driehaus,Hamilton,31,STATE REPRESENTATIVES,Democratic,1815
Yvette Barbara Baldwin,Hamilton,32,STATE REPRESENTATIVES,Democratic,266
Eve Bolton,Hamilton,32,STATE REPRESENTATIVES,Democratic,2015
Dale Mallory,Hamilton,32,STATE REPRESENTATIVES,Democratic,2181
Eric Wilson,Hamilton,32,STATE REPRESENTATIVES,Democratic,418
Tyrone K. Yates,Hamilton,33,STATE REPRESENTATIVES,Democratic,5082
Stephen E. Silver,Hamilton,34,STATE REPRESENTATIVES,Democratic,3474
Karen J. Adams,Hamilton,35,STATE REPRESENTATIVES,Democratic,1726
Karen J. Adams,Warren,35,STATE REPRESENTATIVES,Democratic,1624
Beverly Smith,Montgomery,36,STATE REPRESENTATIVES,Democratic,3811
Carolyn A. Rice,Montgomery,38,STATE REPRESENTATIVES,Democratic,3278
Clayton Luckie,Montgomery,39,STATE REPRESENTATIVES,Democratic,3326
Fred Strahorn,Montgomery,40,STATE REPRESENTATIVES,Democratic,4105
Brian G. Williams,Summit,41,STATE REPRESENTATIVES,Democratic,8224
Paul Colavecchio,Summit,42,STATE REPRESENTATIVES,Democratic,4696
Adam M. Van Ho,Summit,42,STATE REPRESENTATIVES,Democratic,2831
Stephen Dyer,Portage,43,STATE REPRESENTATIVES,Democratic,2109
Stephen Dyer,Summit,43,STATE REPRESENTATIVES,Democratic,5020
Christopher Stoll,Portage,43,STATE REPRESENTATIVES,Democratic,929
Christopher Stoll,Summit,43,STATE REPRESENTATIVES,Democratic,1872
Patrick L. Bravo,Summit,44,STATE REPRESENTATIVES,Democratic,2470
Vernon Sykes,Summit,44,STATE REPRESENTATIVES,Democratic,8576
Robert J. Otterman,Summit,45,STATE REPRESENTATIVES,Democratic,9931
Mark P. Dansack (WI),Lucas,46,STATE REPRESENTATIVES,Democratic,299
Peter Ujvagi,Lucas,47,STATE REPRESENTATIVES,Democratic,5787
Edna Brown,Lucas,48,STATE REPRESENTATIVES,Democratic,5674
Matt Szollosi,Lucas,49,STATE REPRESENTATIVES,Democratic,6007
John Johnson,Stark,50,STATE REPRESENTATIVES,Democratic,7269
Kody V. Gonzalez,Stark,51,STATE REPRESENTATIVES,Democratic,9059
"William J. Healy, II",Stark,52,STATE REPRESENTATIVES,Democratic,7934
Glenda Smith,Butler,53,STATE REPRESENTATIVES,Democratic,2449
"Kenneth D. Keith, Jr.",Butler,54,STATE REPRESENTATIVES,Democratic,2046
Joseph F. Koziura,Lorain,56,STATE REPRESENTATIVES,Democratic,11060
Alan F. Caruso,Lorain,57,STATE REPRESENTATIVES,Democratic,3205
Matt Lundy,Lorain,57,STATE REPRESENTATIVES,Democratic,7073
Matthew H. Barrett,Huron,58,STATE REPRESENTATIVES,Democratic,2125
Matthew H. Barrett,Lorain,58,STATE REPRESENTATIVES,Democratic,3917
Matthew H. Barrett,Seneca,58,STATE REPRESENTATIVES,Democratic,437
Kenneth A. Carano,Mahoning,59,STATE REPRESENTATIVES,Democratic,14254
Richard A. Gozur,Mahoning,60,STATE REPRESENTATIVES,Democratic,1815
Robert F. Hagan,Mahoning,60,STATE REPRESENTATIVES,Democratic,5875
Rufus G. Hudson,Mahoning,60,STATE REPRESENTATIVES,Democratic,3163
Mike Latessa,Mahoning,60,STATE REPRESENTATIVES,Democratic,860
Ian Stublarec,Mahoning,60,STATE REPRESENTATIVES,Democratic,222
Daniel R. Yemma,Mahoning,60,STATE REPRESENTATIVES,Democratic,3693
Mark D. Okey,Carroll,61,STATE REPRESENTATIVES,Democratic,2500
Mark D. Okey,Mahoning,61,STATE REPRESENTATIVES,Democratic,2370
Mark D. Okey,Stark,61,STATE REPRESENTATIVES,Democratic,1958
Mark D. Okey,Tuscarawas,61,STATE REPRESENTATIVES,Democratic,1451
Lorraine M. Fende,Lake,62,STATE REPRESENTATIVES,Democratic,6671
Timothy J. Cassell,Lake,63,STATE REPRESENTATIVES,Democratic,4858
Tom Letson,Trumbull,64,STATE REPRESENTATIVES,Democratic,11386
Sandra Stabile Harwood,Trumbull,65,STATE REPRESENTATIVES,Democratic,12938
William Newby,Clermont,66,STATE REPRESENTATIVES,Democratic,3465
Jeffrey A. Ruppert,Warren,67,STATE REPRESENTATIVES,Democratic,2155
Kathleen Chandler,Portage,68,STATE REPRESENTATIVES,Democratic,8381
Jack Schira,Medina,69,STATE REPRESENTATIVES,Democratic,6729
Kevin O'Brien,Greene,70,STATE REPRESENTATIVES,Democratic,3276
"Thomas Holliday, Sr.",Licking,71,STATE REPRESENTATIVES,Democratic,5022
Dale Henry,Clark,72,STATE REPRESENTATIVES,Democratic,3597
Kevin O'Neill,Clark,72,STATE REPRESENTATIVES,Democratic,2417
Richard G. Spangler,Clark,72,STATE REPRESENTATIVES,Democratic,1236
Jay P. Goyal,Richland,73,STATE REPRESENTATIVES,Democratic,5199
Ellen K. Haring,Richland,73,STATE REPRESENTATIVES,Democratic,3319
Ben McCullough,Defiance,74,STATE REPRESENTATIVES,Democratic,1737
Ben McCullough,Fulton,74,STATE REPRESENTATIVES,Democratic,1347
Ben McCullough,Williams,74,STATE REPRESENTATIVES,Democratic,1746
Angie B. Byrne,Defiance,75,STATE REPRESENTATIVES,Democratic,50
Angie B. Byrne,Henry,75,STATE REPRESENTATIVES,Democratic,1188
Angie B. Byrne,Paulding,75,STATE REPRESENTATIVES,Democratic,1169
Angie B. Byrne,Putnam,75,STATE REPRESENTATIVES,Democratic,1872
Angie B. Byrne,Van Wert,75,STATE REPRESENTATIVES,Democratic,1011
John F. Kostyo (WI),Auglaize,76,STATE REPRESENTATIVES,Democratic,22
John F. Kostyo (WI),Hancock,76,STATE REPRESENTATIVES,Democratic,192
John F. Kostyo (WI),Hardin,76,STATE REPRESENTATIVES,Democratic,78
Betsy Marshall,Darke,77,STATE REPRESENTATIVES,Democratic,1410
Betsy Marshall,Mercer,77,STATE REPRESENTATIVES,Democratic,1611
Betsy Marshall,Preble,77,STATE REPRESENTATIVES,Democratic,1811
Jason L. Dorsey,Auglaize,78,STATE REPRESENTATIVES,Democratic,310
Jason L. Dorsey,Champaign,78,STATE REPRESENTATIVES,Democratic,274
Jason L. Dorsey,Shelby,78,STATE REPRESENTATIVES,Democratic,784
Thomas M. Matthew,Auglaize,78,STATE REPRESENTATIVES,Democratic,473
Thomas M. Matthew,Champaign,78,STATE REPRESENTATIVES,Democratic,281
Thomas M. Matthew,Shelby,78,STATE REPRESENTATIVES,Democratic,373
Adam Ward,Auglaize,78,STATE REPRESENTATIVES,Democratic,522
Adam Ward,Champaign,78,STATE REPRESENTATIVES,Democratic,1334
Adam Ward,Shelby,78,STATE REPRESENTATIVES,Democratic,1043
Dave Fisher,Darke,79,STATE REPRESENTATIVES,Democratic,501
Dave Fisher,Miami,79,STATE REPRESENTATIVES,Democratic,3100
Chris Redfern,Erie,80,STATE REPRESENTATIVES,Democratic,6200
Chris Redfern,Ottawa,80,STATE REPRESENTATIVES,Democratic,2796
Darrell W. Opfer,Ottawa,81,STATE REPRESENTATIVES,Democratic,646
Darrell W. Opfer,Sandusky,81,STATE REPRESENTATIVES,Democratic,3197
Darrell W. Opfer,Seneca,81,STATE REPRESENTATIVES,Democratic,1981
Shawn Allen,Logan,83,STATE REPRESENTATIVES,Democratic,1365
Shawn Allen,Marion,83,STATE REPRESENTATIVES,Democratic,1237
Shawn Allen,Union,83,STATE REPRESENTATIVES,Democratic,1185
Connie Crockett,Clark,84,STATE REPRESENTATIVES,Democratic,1972
Connie Crockett,Greene,84,STATE REPRESENTATIVES,Democratic,1344
Connie Crockett,Madison,84,STATE REPRESENTATIVES,Democratic,1150
Raymond Allen Pryor,Fayette,85,STATE REPRESENTATIVES,Democratic,710
Raymond Allen Pryor,Pickaway,85,STATE REPRESENTATIVES,Democratic,910
Raymond Allen Pryor,Ross,85,STATE REPRESENTATIVES,Democratic,3123
Bill Horne,Clinton,86,STATE REPRESENTATIVES,Democratic,1005
Bill Horne,Highland,86,STATE REPRESENTATIVES,Democratic,1152
Bill Horne,Pike,86,STATE REPRESENTATIVES,Democratic,1588
Nick D. Rupert,Gallia,87,STATE REPRESENTATIVES,Democratic,1067
Nick D. Rupert,Jackson,87,STATE REPRESENTATIVES,Democratic,1119
Nick D. Rupert,Lawrence,87,STATE REPRESENTATIVES,Democratic,1278
Nick D. Rupert,Ross,87,STATE REPRESENTATIVES,Democratic,448
Nick D. Rupert,Vinton,87,STATE REPRESENTATIVES,Democratic,1020
Todd Book,Adams,89,STATE REPRESENTATIVES,Democratic,491
Todd Book,Lawrence,89,STATE REPRESENTATIVES,Democratic,2026
Todd Book,Scioto,89,STATE REPRESENTATIVES,Democratic,6913
Duane Grassbaugh,Ashland,90,STATE REPRESENTATIVES,Democratic,499
Duane Grassbaugh,Knox,90,STATE REPRESENTATIVES,Democratic,2281
Duane Grassbaugh,Morrow,90,STATE REPRESENTATIVES,Democratic,1648
Duane Grassbaugh,Richland,90,STATE REPRESENTATIVES,Democratic,1360
Dan Dodd,Hocking,91,STATE REPRESENTATIVES,Democratic,1564
Dan Dodd,Licking,91,STATE REPRESENTATIVES,Democratic,1531
Dan Dodd,Perry,91,STATE REPRESENTATIVES,Democratic,2064
Dan Dodd,Pickaway,91,STATE REPRESENTATIVES,Democratic,1265
Debbie Phillips,Athens,92,STATE REPRESENTATIVES,Democratic,4197
Debbie Phillips,Meigs,92,STATE REPRESENTATIVES,Democratic,580
Debbie Phillips,Morgan,92,STATE REPRESENTATIVES,Democratic,576
Debbie Phillips,Washington,92,STATE REPRESENTATIVES,Democratic,721
Michael T. Struble,Athens,92,STATE REPRESENTATIVES,Democratic,924
Michael T. Struble,Meigs,92,STATE REPRESENTATIVES,Democratic,771
Michael T. Struble,Morgan,92,STATE REPRESENTATIVES,Democratic,289
Michael T. Struble,Washington,92,STATE REPRESENTATIVES,Democratic,365
Jennifer D. Garrison,Guernsey,93,STATE REPRESENTATIVES,Democratic,2949
Jennifer D. Garrison,Monroe,93,STATE REPRESENTATIVES,Democratic,2608
Jennifer D. Garrison,Muskingum,93,STATE REPRESENTATIVES,Democratic,174
Jennifer D. Garrison,Noble,93,STATE REPRESENTATIVES,Democratic,1150
Jennifer D. Garrison,Washington,93,STATE REPRESENTATIVES,Democratic,2791
Aaron B. Phillips,Coshocton,94,STATE REPRESENTATIVES,Democratic,1835
Aaron B. Phillips,Muskingum,94,STATE REPRESENTATIVES,Democratic,3767
John Domenick,Belmont,95,STATE REPRESENTATIVES,Democratic,7830
John Domenick,Jefferson,95,STATE REPRESENTATIVES,Democratic,10722
Allan R. Sayre,Belmont,96,STATE REPRESENTATIVES,Democratic,3495
Allan R. Sayre,Harrison,96,STATE REPRESENTATIVES,Democratic,1809
Allan R. Sayre,Tuscarawas,96,STATE REPRESENTATIVES,Democratic,7016
James E. Riley,Ashland,97,STATE REPRESENTATIVES,Democratic,1647
James E. Riley,Holmes,97,STATE REPRESENTATIVES,Democratic,1037
James E. Riley,Medina,97,STATE REPRESENTATIVES,Democratic,1987
Raymond Ku,Cuyahoga,98,STATE REPRESENTATIVES,Democratic,1237
Raymond Ku,Geauga,98,STATE REPRESENTATIVES,Democratic,3929
L. George Distel,Ashtabula,99,STATE REPRESENTATIVES,Democratic,7136
L. George Distel,Trumbull,99,STATE REPRESENTATIVES,Democratic,371
Ben A. Nienberg,Auglaize, 1,STATE SENATE,Democratic,492
Ben A. Nienberg,Defiance, 1,STATE SENATE,Democratic,1773
Ben A. Nienberg,Fulton, 1,STATE SENATE,Democratic,1302
Ben A. Nienberg,Hancock, 1,STATE SENATE,Democratic,1576
Ben A. Nienberg,Hardin, 1,STATE SENATE,Democratic,1122
Ben A. Nienberg,Henry, 1,STATE SENATE,Democratic,1217
Ben A. Nienberg,Paulding, 1,STATE SENATE,Democratic,1207
Ben A. Nienberg,Putnam, 1,STATE SENATE,Democratic,2252
Ben A. Nienberg,Van Wert, 1,STATE SENATE,Democratic,958
Ben A. Nienberg,Williams, 1,STATE SENATE,Democratic,1673
Emily Kreider,Franklin, 3,STATE SENATE,Democratic,14294
Tom Roberts,Darke, 5,STATE SENATE,Democratic,520
Tom Roberts,Miami, 5,STATE SENATE,Democratic,3092
Tom Roberts,Montgomery, 5,STATE SENATE,Democratic,8011
Rick Smith,Hamilton, 7,STATE SENATE,Democratic,5023
Rick Smith,Warren, 7,STATE SENATE,Democratic,3451
Eric H. Kearney,Hamilton, 9,STATE SENATE,Democratic,9329
Teresa Fedor,Lucas,11,STATE SENATE,Democratic,16460
Diana L. Huska,Huron,13,STATE SENATE,Democratic,732
Diana L. Huska,Lorain,13,STATE SENATE,Democratic,7538
Diana L. Huska,Seneca,13,STATE SENATE,Democratic,199
Susan L. Morano,Huron,13,STATE SENATE,Democratic,1636
Susan L. Morano,Lorain,13,STATE SENATE,Democratic,18671
Susan L. Morano,Seneca,13,STATE SENATE,Democratic,311
Ray Miller,Franklin,15,STATE SENATE,Democratic,15350
April D. Howland,Clinton,17,STATE SENATE,Democratic,888
April D. Howland,Fayette,17,STATE SENATE,Democratic,704
April D. Howland,Gallia,17,STATE SENATE,Democratic,1039
April D. Howland,Highland,17,STATE SENATE,Democratic,918
April D. Howland,Jackson,17,STATE SENATE,Democratic,960
April D. Howland,Lawrence,17,STATE SENATE,Democratic,1292
April D. Howland,Pickaway,17,STATE SENATE,Democratic,886
April D. Howland,Pike,17,STATE SENATE,Democratic,1462
April D. Howland,Ross,17,STATE SENATE,Democratic,3258
April D. Howland,Vinton,17,STATE SENATE,Democratic,879
Thomas E. Burkhart,Ashland,19,STATE SENATE,Democratic,372
Thomas E. Burkhart,Delaware,19,STATE SENATE,Democratic,3231
Thomas E. Burkhart,Knox,19,STATE SENATE,Democratic,1368
Thomas E. Burkhart,Morrow,19,STATE SENATE,Democratic,1137
Thomas E. Burkhart,Richland,19,STATE SENATE,Democratic,5622
Jason Griffith,Ashland,19,STATE SENATE,Democratic,230
Jason Griffith,Delaware,19,STATE SENATE,Democratic,1749
Jason Griffith,Knox,19,STATE SENATE,Democratic,1009
Jason Griffith,Morrow,19,STATE SENATE,Democratic,746
Jason Griffith,Richland,19,STATE SENATE,Democratic,2813
W. Lewis Britt,Cuyahoga,21,STATE SENATE,Democratic,1368
George L. Gaines,Cuyahoga,21,STATE SENATE,Democratic,2164
Annie L. Key,Cuyahoga,21,STATE SENATE,Democratic,7707
Shirley A. Smith,Cuyahoga,21,STATE SENATE,Democratic,11631
Jennifer Frigolette,Cuyahoga,23,STATE SENATE,Democratic,8529
Dale Miller,Cuyahoga,23,STATE SENATE,Democratic,21660
Lance T. Mason,Cuyahoga,25,STATE SENATE,Democratic,25501
Kevin M. Griffith,Summit,27,STATE SENATE,Democratic,11778
Judy A. Hanna,Summit,27,STATE SENATE,Democratic,15714
Thomas E. West,Stark,29,STATE SENATE,Democratic,23712
Bob Bensonhaver,Fairfield,31,STATE SENATE,Democratic,2348
Bob Bensonhaver,Hocking,31,STATE SENATE,Democratic,1125
Bob Bensonhaver,Licking,31,STATE SENATE,Democratic,2574
Bob Bensonhaver,Perry,31,STATE SENATE,Democratic,900
Bob Bensonhaver,Pickaway,31,STATE SENATE,Democratic,1176
Dennis A. Lupher,Fairfield,31,STATE SENATE,Democratic,5188
Dennis A. Lupher,Hocking,31,STATE SENATE,Democratic,575
Dennis A. Lupher,Licking,31,STATE SENATE,Democratic,4420
Dennis A. Lupher,Perry,31,STATE SENATE,Democratic,1076
Dennis A. Lupher,Pickaway,31,STATE SENATE,Democratic,568
John A. Boccieri,Carroll,33,STATE SENATE,Democratic,2788
John A. Boccieri,Mahoning,33,STATE SENATE,Democratic,30585
John A. Boccieri,Stark,33,STATE SENATE,Democratic,2113
John A. Boccieri,Tuscarawas,33,STATE SENATE,Democratic,1728
Richard Cordray,Adams,,STATE TREASURE,Democratic,969
Richard Cordray,Allen,,STATE TREASURE,Democratic,3884
Richard Cordray,Ashland,,STATE TREASURE,Democratic,1872
Richard Cordray,Ashtabula,,STATE TREASURE,Democratic,5523
Richard Cordray,Athens,,STATE TREASURE,Democratic,3683
Richard Cordray,Auglaize,,STATE TREASURE,Democratic,1330
Richard Cordray,Belmont,,STATE TREASURE,Democratic,8336
Richard Cordray,Brown,,STATE TREASURE,Democratic,1905
Richard Cordray,Butler,,STATE TREASURE,Democratic,5290
Richard Cordray,Carroll,,STATE TREASURE,Democratic,1925
Richard Cordray,Champaign,,STATE TREASURE,Democratic,1270
Richard Cordray,Clark,,STATE TREASURE,Democratic,6365
Richard Cordray,Clermont,,STATE TREASURE,Democratic,4196
Richard Cordray,Clinton,,STATE TREASURE,Democratic,798
Richard Cordray,Columbiana,,STATE TREASURE,Democratic,7260
Richard Cordray,Coshocton,,STATE TREASURE,Democratic,1782
Richard Cordray,Crawford,,STATE TREASURE,Democratic,2471
Richard Cordray,Cuyahoga,,STATE TREASURE,Democratic,77449
Richard Cordray,Darke,,STATE TREASURE,Democratic,1398
Richard Cordray,Defiance,,STATE TREASURE,Democratic,1589
Richard Cordray,Delaware,,STATE TREASURE,Democratic,5596
Richard Cordray,Erie,,STATE TREASURE,Democratic,4407
Richard Cordray,Fairfield,,STATE TREASURE,Democratic,6201
Richard Cordray,Fayette,,STATE TREASURE,Democratic,678
Richard Cordray,Franklin,,STATE TREASURE,Democratic,47427
Richard Cordray,Fulton,,STATE TREASURE,Democratic,1068
Richard Cordray,Gallia,,STATE TREASURE,Democratic,985
Richard Cordray,Geauga,,STATE TREASURE,Democratic,3689
Richard Cordray,Greene,,STATE TREASURE,Democratic,3248
Richard Cordray,Guernsey,,STATE TREASURE,Democratic,2322
Richard Cordray,Hamilton,,STATE TREASURE,Democratic,18619
Richard Cordray,Hancock,,STATE TREASURE,Democratic,1283
Richard Cordray,Hardin,,STATE TREASURE,Democratic,1005
Richard Cordray,Harrison,,STATE TREASURE,Democratic,1420
Richard Cordray,Henry,,STATE TREASURE,Democratic,971
Richard Cordray,Highland,,STATE TREASURE,Democratic,891
Richard Cordray,Hocking,,STATE TREASURE,Democratic,1371
Richard Cordray,Holmes,,STATE TREASURE,Democratic,813
Richard Cordray,Huron,,STATE TREASURE,Democratic,1753
Richard Cordray,Jackson,,STATE TREASURE,Democratic,931
Richard Cordray,Jefferson,,STATE TREASURE,Democratic,7895
Richard Cordray,Knox,,STATE TREASURE,Democratic,2293
Richard Cordray,Lake,,STATE TREASURE,Democratic,10642
Richard Cordray,Lawrence,,STATE TREASURE,Democratic,2645
Richard Cordray,Licking,,STATE TREASURE,Democratic,6479
Richard Cordray,Logan,,STATE TREASURE,Democratic,1264
Richard Cordray,Lorain,,STATE TREASURE,Democratic,17796
Richard Cordray,Lucas,,STATE TREASURE,Democratic,15218
Richard Cordray,Madison,,STATE TREASURE,Democratic,1212
Richard Cordray,Mahoning,,STATE TREASURE,Democratic,21386
Richard Cordray,Marion,,STATE TREASURE,Democratic,3109
Richard Cordray,Medina,,STATE TREASURE,Democratic,7316
Richard Cordray,Meigs,,STATE TREASURE,Democratic,930
Richard Cordray,Mercer,,STATE TREASURE,Democratic,1252
Richard Cordray,Miami,,STATE TREASURE,Democratic,2073
Richard Cordray,Monroe,,STATE TREASURE,Democratic,2114
Richard Cordray,Montgomery,,STATE TREASURE,Democratic,7299
Richard Cordray,Morgan,,STATE TREASURE,Democratic,718
Richard Cordray,Morrow,,STATE TREASURE,Democratic,1497
Richard Cordray,Muskingum,,STATE TREASURE,Democratic,3588
Richard Cordray,Noble,,STATE TREASURE,Democratic,920
Richard Cordray,Ottawa,,STATE TREASURE,Democratic,2464
Richard Cordray,Paulding,,STATE TREASURE,Democratic,952
Richard Cordray,Perry,,STATE TREASURE,Democratic,1817
Richard Cordray,Pickaway,,STATE TREASURE,Democratic,2263
Richard Cordray,Pike,,STATE TREASURE,Democratic,1548
Richard Cordray,Portage,,STATE TREASURE,Democratic,8502
Richard Cordray,Preble,,STATE TREASURE,Democratic,1245
Richard Cordray,Putnam,,STATE TREASURE,Democratic,1893
Richard Cordray,Richland,,STATE TREASURE,Democratic,6768
Richard Cordray,Ross,,STATE TREASURE,Democratic,2818
Richard Cordray,Sandusky,,STATE TREASURE,Democratic,2760
Richard Cordray,Scioto,,STATE TREASURE,Democratic,4434
Richard Cordray,Seneca,,STATE TREASURE,Democratic,2256
Richard Cordray,Shelby,,STATE TREASURE,Democratic,1464
Richard Cordray,Stark,,STATE TREASURE,Democratic,22594
Richard Cordray,Summit,,STATE TREASURE,Democratic,30922
Richard Cordray,Trumbull,,STATE TREASURE,Democratic,18230
Richard Cordray,Tuscarawas,,STATE TREASURE,Democratic,6494
Richard Cordray,Union,,STATE TREASURE,Democratic,1279
Richard Cordray,Van Wert,,STATE TREASURE,Democratic,749
Richard Cordray,Vinton,,STATE TREASURE,Democratic,838
Richard Cordray,Warren,,STATE TREASURE,Democratic,3038
Richard Cordray,Washington,,STATE TREASURE,Democratic,2793
Richard Cordray,Wayne,,STATE TREASURE,Democratic,3207
Richard Cordray,Williams,,STATE TREASURE,Democratic,1385
Richard Cordray,Wood,,STATE TREASURE,Democratic,4220
Richard Cordray,Wyandot,,STATE TREASURE,Democratic,789
John Cranley,Butler, 1,US REPRESENTATIVES,Democratic,624
John Cranley,Hamilton, 1,US REPRESENTATIVES,Democratic,16720
Gaby Downey,Adams, 2,US REPRESENTATIVES,Democratic,191
Gaby Downey,Brown, 2,US REPRESENTATIVES,Democratic,296
Gaby Downey,Clermont, 2,US REPRESENTATIVES,Democratic,960
Gaby Downey,Hamilton, 2,US REPRESENTATIVES,Democratic,1244
Gaby Downey,Pike, 2,US REPRESENTATIVES,Democratic,200
Gaby Downey,Scioto, 2,US REPRESENTATIVES,Democratic,420
Gaby Downey,Warren, 2,US REPRESENTATIVES,Democratic,357
Thor Jacobs,Adams, 2,US REPRESENTATIVES,Democratic,382
Thor Jacobs,Brown, 2,US REPRESENTATIVES,Democratic,928
Thor Jacobs,Clermont, 2,US REPRESENTATIVES,Democratic,1071
Thor Jacobs,Hamilton, 2,US REPRESENTATIVES,Democratic,2143
Thor Jacobs,Pike, 2,US REPRESENTATIVES,Democratic,534
Thor Jacobs,Scioto, 2,US REPRESENTATIVES,Democratic,1057
Thor Jacobs,Warren, 2,US REPRESENTATIVES,Democratic,420
Jim Parker,Adams, 2,US REPRESENTATIVES,Democratic,321
Jim Parker,Brown, 2,US REPRESENTATIVES,Democratic,706
Jim Parker,Clermont, 2,US REPRESENTATIVES,Democratic,1561
